,0,1,2
0,817.3249,116049.06,53.98628
1,725.1858,96430.68,26.012415
2,687.3336,87990.164,13.5174265
3,679.7401,85734.12,22.575293
4,726.5516,96254.64,24.421919
5,761.718,105299.08,48.14642
6,778.2237,110320.984,61.032433
7,776.7924,110677.81,70.42918
8,761.5321,109127.52,72.716255
9,741.2467,107570.58,64.76294
10,745.6511,108697.64,49.832535
11,755.64813,109562.09,38.201138
12,739.22375,105480.78,41.443867
13,712.0245,99065.15,48.668972
14,697.55096,96794.34,54.329674
15,693.15125,97878.484,76.153114
16,697.17773,100092.91,100.618576
17,696.58716,101525.15,114.776505
18,711.1763,104502.17,112.29221
19,693.2717,102346.96,104.35907
20,683.312,101216.38,94.538086
21,687.36536,102312.74,93.131424
22,703.3686,104001.06,96.66488
23,691.38635,100761.805,104.80622
24,688.83405,100941.66,112.08187
25,692.1963,102536.7,117.57285
26,692.67065,103464.49,117.543755
27,682.3703,101609.164,114.662254
28,686.692,102190.766,104.770134
29,678.5674,100334.53,105.13069
30,668.0378,97996.44,105.95696
31,664.0765,96739.57,103.26487
32,663.38745,96810.01,106.67746
33,653.63495,96002.94,114.02138
34,654.98444,96533.63,121.28845
35,671.21765,99957.24,126.71472
36,683.5949,101813.71,131.28249
37,695.76495,103633.81,125.16826
38,702.10126,104194.305,121.880165
39,703.0135,104435.98,124.84165
40,715.2186,106663.56,120.949394
41,721.03357,107851.984,126.04005
42,711.66205,106184.43,129.27754
43,686.0452,101984.234,120.33947
44,660.54626,97810.555,108.007
45,648.00226,95929.234,106.88995
46,644.1605,94904.55,109.4865
47,624.86774,90814.81,106.867256
48,605.68243,87392.18,111.3969
49,589.2714,83728.93,115.10473
50,579.81506,83913.625,117.7511
51,595.5483,87778.2,125.633934
52,578.5538,86031.4,127.44153
53,573.178,85624.15,131.94238
54,576.0327,86608.61,142.32054
55,569.9042,84732.61,148.92949
56,562.8408,83215.12,148.02327
57,550.55365,81530.67,147.973
58,541.15015,80148.49,151.18484
59,547.07367,81676.26,158.84448
60,547.94635,81999.51,161.659
61,541.40497,80702.85,167.61253
62,528.47064,78827.71,179.63109
63,530.96423,79585.23,196.98964
64,535.71094,80684.01,213.2349
65,530.6478,79518.01,218.97101
66,525.77997,79607.6,228.97629
67,523.4763,79509.24,224.74901
68,513.7539,78114.92,217.77063
69,510.82516,77752.47,218.59517
70,508.58398,77320.055,216.0014
71,494.70044,74801.7,213.22542
72,479.72998,72243.11,212.90152
73,475.93015,71637.66,214.19229
74,473.79645,71454.92,222.18472
75,460.8038,69574.92,229.07362
76,455.85855,69170.94,234.43385
77,459.19275,69749.2,241.2205
78,454.68515,69079.92,245.19872
79,449.63034,68261.78,244.61151
80,441.52048,66993.46,241.65422
81,437.86893,66574.48,246.83388
82,434.6965,66138.97,251.7192
83,431.42868,65626.07,250.92038
84,426.17227,64731.125,249.19995
85,422.8973,64188.05,242.77823
86,415.49728,63037.79,238.57913
87,411.62302,62495.51,243.60614
88,401.5878,60764.492,248.34319
89,393.17398,59430.586,252.9819
90,398.7089,60594.25,253.9969
91,417.22983,63486.52,253.41368
92,414.65,63025.03,256.39426
93,409.6462,62209.062,264.6212
94,420.48154,63708.652,275.77173
95,419.36255,63545.414,286.5322
96,402.6108,61141.645,279.04056
97,352.12576,54100.36,260.85095
98,295.73453,46270.797,239.58173
99,286.62927,44184.98,212.23875
100,292.73904,44210.246,208.02025
101,315.37387,48076.21,276.56458
102,303.26663,45556.54,301.08597
103,265.49942,41114.008,266.15054
104,290.4902,45799.14,290.73126
105,306.45642,49064.41,364.99023
106,360.39447,57553.37,377.9069
107,437.104,69200.03,386.51953
108,454.33984,71419.4,399.81506
109,437.8787,68760.54,379.02484
110,431.89725,67560.02,354.13852
111,394.96475,61844.34,357.29462
112,393.4139,59983.99,358.55872
113,396.29236,58889.926,345.24142
114,390.1669,57657.25,331.96356
115,380.64105,58396.402,323.95145
