,index,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,DP_CHOKE_SIZE,AVG_WHP_P,AVG_WHT_P,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
0,5118,24.0,260.86687458333336,103.29287958333333,160.15195520833333,21.052992708333335,69.53941291666666,100.714919375,52.38189875,1735.26,252235.23,14.0
1,5119,5.57,256.24822987432674,104.01771759425493,156.64991213644524,27.223459166666668,68.01616710951527,99.5983177378815,71.11535224416517,592.36,88949.0,11.370000000000001
2,5120,24.0,254.98278468085107,103.96700872340425,156.3328440425532,27.277954375,66.94888382978723,98.64994063829788,67.59075319148936,2532.21,373786.28,15.84
3,5121,24.0,251.47592083333333,104.21055708333333,155.81718708333332,30.650552291666667,63.663812291666666,95.65873375,73.78225145833333,3030.71,447840.09,19.130000000000003
4,5122,24.0,249.34619083333334,104.33918395833334,155.76093895833333,32.56253666666667,61.33769958333333,93.585251875,78.03544041666666,3288.08,474614.43,17.58
5,5123,24.0,251.50157104166666,104.33368666666667,155.2787975,30.051586458333333,64.30503125,96.22277354166667,75.74988666666667,2780.06,410359.82,21.05
6,5124,24.0,251.50894291666665,104.35385958333333,155.359875625,30.083934375,64.16431,96.14906729166667,75.33504,2774.38,420865.05,16.4
7,5125,24.0,251.45771104166667,104.37839708333334,155.35175916666665,30.117950208333333,64.12816041666666,96.105951875,75.61660541666667,2791.01,408766.41,16.43
8,5126,24.0,251.72432625,104.39865270833333,155.23437604166668,29.830638333333333,64.560483125,96.48995020833334,76.07779375,2743.1,402199.56,16.32
9,5127,24.0,251.85836791666668,104.40723395833334,155.17213270833332,29.748208541666667,64.77017729166667,96.68623520833333,77.01710479166667,2717.44,399221.04,16.45
10,5128,24.0,251.91538770833333,104.42963020833334,155.18187520833334,29.668405416666666,64.77492395833333,96.7335125,77.13652520833334,2745.51,403771.0,16.38
11,5129,24.0,251.85079041666665,104.441276875,155.19307083333334,29.786135208333334,64.948734375,96.65771958333333,76.882569375,2762.59,413309.67,16.4
12,5130,24.0,251.86983375,104.45899125,155.582063125,29.7217075,64.81983583333333,96.287770625,71.98295291666666,2763.68,402430.02,16.43
13,5131,24.0,251.85456291666668,104.47188229166666,155.417326875,29.786644583333334,64.93957125,96.43723604166667,73.84843666666667,2759.3,404995.2,16.39
14,5132,24.0,251.9145875,104.46939729166667,155.41556770833333,29.783000208333334,65.00550708333333,96.49901979166667,74.9850975,2732.34,400145.03,16.28
15,5133,24.0,251.95071395833332,104.496205625,155.36803104166665,29.806630416666668,65.0687875,96.58268291666667,75.897555,2762.74,405191.14,16.35
