,0,1,2,,DATEPRD,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,,,,,
49,3628.1602,514142.47,820.35706,,9/12/08,4789.59,705461.79,18.14,,,3872.5813,544592.2,335.53656
50,3598.1433,510500.2,806.91705,,9/13/08,4925.62,720884.42,16.44,,,3894.7888,550645.4,385.31415
51,3575.7666,506701.28,781.8953,,9/14/08,4963.82,724921.58,17.44,,,3903.8042,554459.1,430.57053
52,3560.7627,502934,760.91425,,9/15/08,4970.38,724705.09,17.47,,,3894.812,553915.75,458.83408
53,3549.668,499728.25,752.5204,,9/16/08,4982.77,724440.98,17.45,,,3914.742,556240.4,497.41605
54,3559.433,499346.4,767.3392,,9/17/08,5003.65,724363.22,17.01,,,3922.9824,557865.4,539.8812
55,3581.44,501258.1,807.6333,,9/18/08,3949.42,571257.62,27.27,,,3903.1633,555583.6,571.8645
56,3533.057,493759.9,816.44824,,9/19/08,4169.6,603265.9,15.54,,,3892.9912,554645.6,605.48834
57,3483.366,486634.97,808.88617,,9/20/08,5353.53,765203.95,15.69,,,3865.1912,550326.8,613.8251
58,3515.0225,490475.06,826.22455,,9/21/08,4520.52,643641.96,16.34,,,3860.4734,548499.4,614.1415
59,3501.6882,488593.38,831.3139,,9/22/08,4689.72,668819.96,29.31,,,3867.8354,548183.8,632.7635
60,3487.4326,486473.44,821.35376,,9/23/08,5290.92,753658.36,30.73,,,3976.3933,561282.06,663.5938
61,3492.0256,487057.3,819.0707,,9/24/08,5336.6,757018.34,17.49,,,3982.959,560076.1,678.77325
62,3509.8608,489307.4,824.1033,,9/25/08,4880.31,733460.14,30.56,,,3997.4277,560929.25,700.44037
63,3512.4363,490129.06,826.91016,,9/26/08,5453.84,773865.6,39.58,,,4025.3428,565078.3,725.35614
64,3546.4607,495613,855.9975,,9/27/08,4902.39,705250.94,55.51,,,4053.8171,569910.4,745.43207
65,3553.9553,497498.88,890.1984,,9/28/08,5156.66,736404.87,28.84,,,4070.2727,573212.25,761.55457
66,3578.5198,500941.78,922.8833,,9/29/08,5410.73,766070.77,20.11,,,4072.4895,574486.06,777.66986
67,3604.2192,503796.8,940.7638,,9/30/08,3282.19,469174.12,14.61,,,4057.2231,572986.25,794.2208
68,3568.0776,499422.1,905.39557,,10/1/08,5319.83,754940.79,17.42,,,4029.7834,569027.06,801.3228
69,3552.0234,497349.25,844.82367,,10/2/08,5569.54,789974.73,11.8,,,3992.3306,563008.94,800.6898
70,3535.1575,495636.22,772.6516,,10/3/08,5281.92,748824.81,11.58,,,3954.4578,557034.5,795.1033
71,3526.7815,494864.72,707.0344,,10/4/08,4954.21,724471.61,11.74,,,3918.268,552119.6,787.7844
72,3534.0828,494277.28,656.8592,,10/5/08,5419.56,766948.87,11.7,,,3892.8982,549478.9,786.9239
73,3584.653,498913.4,648.5424,,10/6/08,3485.34,484446.82,11.11,,,3889.7659,550347,798.15497
74,3572.6511,496903.25,636.42377,,10/7/08,4222.5,599591.35,12.58,,,3945.375,558666.5,827.41534
75,3568.4453,498079.28,635.7715,,10/8/08,4208.55,598519.97,13.52,,,3953.5264,560119.2,830.152
76,3566.7632,500246.4,636.16736,,10/9/08,4201.86,596697.5,14.74,,,3955.2876,560094.06,812.94305
77,3565.4976,501773.2,630.208,,10/10/08,4206.55,598685.25,12.9,,,3910.8296,553737.5,788.2283
78,3560.3066,500974.53,615.59436,,10/11/08,4231.88,603345.05,14.94,,,3872.5515,548531.5,779.28766
79,3553.1536,498517.84,595.6711,,10/12/08,4195.09,594618.04,14.01,,,3832.7341,542787.4,791.3461
80,3534.8718,495729.12,578.5108,,10/13/08,4208.9,595052.35,13.52,,,3828.6763,541739.7,817.1503
81,3514.15,492508.47,573.7308,,10/14/08,4210.83,594860.23,11.71,,,3788.3164,535088.44,835.1483
82,3501.525,490093.88,576.8749,,10/15/08,4187.33,593455.79,13.49,,,3689.8464,521097.44,818.6081
83,3495.3706,488971.9,581.6576,,10/16/08,4194.08,594050.4,13.5,,,3651.8289,516454.03,816.5241
84,3492.6707,488430.72,584.6771,,10/17/08,4206.38,594347.07,13.5,,,3628.1602,514142.47,820.35706
85,3488.8298,488341.3,580.2816,,10/18/08,4753.55,677616.46,14.44,,,3598.1433,510500.2,806.91705
86,3504.569,490593.12,580.7402,,10/19/08,4440.16,625988.23,13.88,,,3575.7666,506701.28,781.8953
87,3513.524,492351.38,581.24744,,10/20/08,4429.04,628127.79,13.89,,,3560.7627,502934,760.91425
88,3519.6128,493697.16,577.16156,,10/21/08,4435.34,627682.44,11.83,,,3549.668,499728.25,752.5204
89,3529.3486,494598.6,567.9088,,10/22/08,4613.81,659793.54,14.8,,,3559.433,499346.4,767.3392
90,3540.744,495987.97,558.05634,,10/23/08,4652.96,663983.04,13.23,,,3581.44,501258.1,807.6333
91,3559.4368,498629.4,556.1075,,10/24/08,4675.7,669780.92,14.2,,,3533.057,493759.9,816.44824
92,3587.3337,502268.47,572.5201,,10/25/08,4633.71,662716.12,11.42,,,3483.366,486634.97,808.88617
93,3600.889,504059.56,599.6916,,10/26/08,4608.81,657672.8,11.54,,,3515.0225,490475.06,826.22455
94,3586.3643,501854.3,617.02673,,10/27/08,4429.46,643534.88,12.73,,,3501.6882,488593.38,831.3139
95,3555.248,498072.84,607.1674,,10/28/08,5123.01,733730.33,13.48,,,3487.4326,486473.44,821.35376
96,3564.4617,499592.44,584.8957,,10/29/08,4793.27,688367.98,13.69,,,3492.0256,487057.3,819.0707
97,3557.7717,499303.84,531.50165,,10/30/08,5460.78,778382.24,13.27,,,3509.8608,489307.4,824.1033
98,3592.9343,504574.94,479.20978,,10/31/08,5463.11,776658.92,15.09,,,3512.4363,490129.06,826.91016
99,3659.8337,513883.47,450.88715,,11/1/08,4645.38,654580.07,15.5,,,3546.4607,495613,855.9975
100,3729.6907,523789,449.63156,,11/2/08,3731.52,531070.72,12.34,,,3553.9553,497498.88,890.1984
101,3757.0354,528282.25,452.7641,,11/3/08,3475.8,507041.18,12.2,,,3578.5198,500941.78,922.8833
102,3757.4285,529203.8,448.0751,,11/4/08,3460.92,498542.52,11.33,,,3604.2192,503796.8,940.7638
103,3757.829,529648.2,441.74817,,11/5/08,3458.27,489500.32,12.11,,,3568.0776,499422.1,905.39557
104,3769.0854,530939.1,437.50037,,11/6/08,3403.18,487984.32,12.5,,,3552.0234,497349.25,844.82367
105,3775.9282,531517.4,438.2146,,11/7/08,3310.61,469642.19,12.75,,,3535.1575,495636.22,772.6516
106,3764.2654,529960.9,437.58994,,11/8/08,3354.77,476607.16,12.5,,,3526.7815,494864.72,707.0344
107,3755.0151,528992.75,437.65915,,11/9/08,3502.6,497111.26,12.85,,,3534.0828,494277.28,656.8592
108,3754.7803,529219.94,438.76254,,11/10/08,3464.41,492344.49,12.43,,,3584.653,498913.4,648.5424
109,3754.7659,529192.8,436.98615,,11/11/08,3492.99,495927.25,10.85,,,3572.6511,496903.25,636.42377
110,3751.382,528573.94,434.9392,,11/12/08,3482,496461.65,12.91,,,3568.4453,498079.28,635.7715
111,3752.1548,528761.1,431.27078,,11/13/08,3499.81,497727.68,11.04,,,3566.7632,500246.4,636.16736
112,3752.5503,528900.9,425.40375,,11/14/08,3498.89,497601.8,10.9,,,3565.4976,501773.2,630.208
113,3751.421,528545.75,419.6737,,11/15/08,3508.48,499260.8,10.81,,,3560.3066,500974.53,615.59436
114,3751.896,528310.44,416.97833,,11/16/08,3501.06,498776.51,10.89,,,3553.1536,498517.84,595.6711
115,3753.6426,528312.9,416.37927,,11/17/08,3526.54,502342.59,10.84,,,3534.8718,495729.12,578.5108
116,3750.0898,527736.25,413.96542,,11/18/08,3481.63,496976.88,10.61,,,3514.15,492508.47,573.7308
117,3747.6304,527523.3,410.6481,,11/19/08,3462.83,493744.18,11.3,,,3501.525,490093.88,576.8749
118,3747.5244,527711.75,408.51874,,11/20/08,3489.61,497824.4,10.88,,,3495.3706,488971.9,581.6576
119,3748.0137,527976.44,407.23846,,11/21/08,3424.06,486907.05,80.68,,,3492.6707,488430.72,584.6771
120,3752.9983,528833.6,409.13898,,11/22/08,3580.99,513287.66,58.62,,,3488.8298,488341.3,580.2816
121,3758.202,529827.1,411.6436,,11/23/08,3234.99,460596.1,16.33,,,3504.569,490593.12,580.7402
122,3745.4968,528572,406.3878,,11/24/08,3378.11,486266.34,14.39,,,3513.524,492351.38,581.24744
123,3736.076,527701.4,395.2267,,11/25/08,3661.02,525715.86,22.45,,,3519.6128,493697.16,577.16156
124,3743.471,528823.9,386.46887,,11/26/08,3853.4,553829.86,11.56,,,3529.3486,494598.6,567.9088
125,3769.6199,532304.75,391.18988,,11/27/08,3833.27,553351.63,13.73,,,3540.744,495987.97,558.05634
