DATEPRD,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_CHOKE_SIZE_P,AVG_WHP_P
09/02/2013,24,248.042290416666,100,32.191835625
09/03/2013,24,247.880798541666,100,32.0324041666666
09/04/2013,24,248.012975,100,31.9755247916666
09/05/2013,24,248.047233125,100,31.9147495833333
09/06/2013,24,248.072418333333,100,32.020824375
09/07/2013,24,247.963447083333,100,31.8656595833333
09/08/2013,24,247.974006875,100,31.9043425
09/09/2013,24,247.952774166666,100,31.9167141666666
09/10/2013,24,247.925011458333,100,31.8532504166666
09/11/2013,24,247.883431458333,100,31.8274952083333
09/12/2013,18.64167,248.277782619668,77.7295658333333,31.7290343455709
09/13/2013,10.65834,260.187200790967,46.2521177083333,37.7946338921445
09/14/2013,6.85833,268.89431328386,10.986153125,43.7064957088095
09/15/2013,24,249.593461458333,79.9467627083333,33.3174791666666
09/16/2013,22.33333,254.877297292616,71.4787877083333,35.9955739786274
09/17/2013,24,248.324877708333,99.9730029166666,32.4893302083333
09/18/2013,10.64167,250.017427943678,43.6620375,32.9061559495549
09/20/2013,17.025,256.749382540041,39.6695854166666,36.6785514410631
09/21/2013,19.83333,250.63826313445,82.0631964583333,33.6115185152619
09/22/2013,24,250.523857291666,84.9788760416666,33.7145972916666
09/23/2013,24,248.051898125,100,32.4216454166666
09/24/2013,24,247.7176575,100,32.4833489583333
09/25/2013,24,247.644034375,100,32.491599375
09/26/2013,24,247.787210833333,100,32.463410625
09/27/2013,16.83333,186.940785057383,52.9430516666666,36.1043181066847
09/28/2013,24,187.488210481754,99.22782,32.2394602083333
09/29/2013,24,135.625828958333,100,32.486093125
09/30/2013,24,247.9593075,100,32.4772347916666
10/01/2013,24,248.5768675,100,32.4369120833333
10/02/2013,24,248.572084166666,100,32.437313125
10/03/2013,24,248.774375625,100,32.4323872916666
10/04/2013,24,248.957245625,100,32.420055
10/05/2013,24,248.932750208333,100,32.4670233333333
10/06/2013,24,248.908749375,100,32.3983652083333
10/07/2013,24,249.031791489361,97.9166666666666,32.3992123404255
10/08/2013,24,249.163180833333,100,32.3843977083333
10/09/2013,24,249.32436625,100,32.3896795833333
10/10/2013,24,249.467560208333,100,32.35817625
10/11/2013,12.14167,250.38921225277,53.5681922916666,32.3343124089108
10/12/2013,9.35833,272.76966820079,13.895140625,45.8489900234123
10/13/2013,24,250.800522916666,89.0566729166666,33.0360166666666
10/14/2013,24,249.9154125,100,32.206000625
10/15/2013,24,249.584102708333,100,32.2861864583333
10/16/2013,24,249.859393333333,100,32.2693310416666
10/17/2013,24,249.686091041666,100,32.3110254166666
10/18/2013,24,249.751346666666,100,32.33582875
10/19/2013,24,249.933551875,100,32.2261083333333
10/20/2013,24,249.79834,100,32.1645439583333
10/21/2013,24,249.52244875,100,32.0845764583333
10/22/2013,24,249.572007291666,100,32.1362235416666
10/23/2013,24,249.613414791666,100,32.1400383333333
10/24/2013,24,249.629293829787,97.9166666666666,32.1926427659574
10/25/2013,24,249.592348541666,100,32.1457633333333
10/26/2013,24,249.712542708333,100,32.170395
10/27/2013,24.30833,250.212893158588,95.8109512,32.0738381194512
10/30/2013,12.85833,262.406615468074,24.491666875,39.4108854128879
10/31/2013,24,249.525901041666,100,32.3067341666666
11/01/2013,24,249.731352083333,100,32.0424185416666
11/02/2013,3.225,251.69201364341,14.6571822916666,34.2248601550387
11/03/2013,6.025,270.483360409377,9.05136520833333,44.4468561318506
11/04/2013,24,249.555000208333,100,32.7279379166666
11/05/2013,24,248.603202708333,99.9730610416666,31.6582495833333
11/06/2013,24,257.219915,77.4811229166666,38.2798577083333
11/07/2013,24,249.771197083333,100,32.5873614583333
11/08/2013,24,249.218492708333,99.988956875,32.2795475
11/09/2013,24,249.247013541666,99.9979764583333,32.329684375
11/10/2013,24,249.362300208333,100,32.3192566666666
11/11/2013,24,249.304299375,100,32.1872922916666
11/12/2013,24,249.577590416666,100,32.4725033333333
11/13/2013,24,249.268202291666,100,32.3216475
11/14/2013,24,248.990294166666,100,32.3002872916666
11/15/2013,24,249.343710833333,100,32.297275625
11/16/2013,24,249.484027916666,100,32.2841116666666
11/17/2013,24,249.632595625,100,32.27708875
11/18/2013,24,249.769248333333,100,32.23777625
11/19/2013,24,249.934352291666,100,32.2316579166666
11/20/2013,24,250.356544166666,100,32.2033322916666
11/21/2013,24,250.567981666666,100,32.2406733333333
11/22/2013,24,250.724816875,100,32.2953829166666
11/23/2013,24,250.911535833333,100,32.2830997916666
11/24/2013,24,250.979113541666,100,32.23546375
11/25/2013,24,251.082710625,100,32.2329285416666
11/26/2013,24,251.125820416666,100,32.1891883333333
11/27/2013,24,250.218461875,100,32.1879035416666
11/28/2013,24,251.225467291666,100,32.1687583333333
11/29/2013,24,251.377596458333,100,32.166238125
11/30/2013,24,251.492238541666,100,32.1619720833333
12/01/2013,24,251.459877708333,100,32.1455216666666
12/02/2013,24,251.50337,100,32.135695625
12/03/2013,24,251.398586666666,100,32.1016170833333
