,0,1,2
0,297.07614,45777.008,9.031536
1,307.23416,46923.37,8.849115
2,295.95798,45432.914,8.160223
3,273.0655,41676.89,10.565722
4,233.36537,34766.99,7.4579377
5,259.3909,39883.816,9.078899
6,245.86539,38077.17,11.827622
7,254.21506,38932.58,7.8518696
8,244.97997,37597.977,8.506687
9,252.17067,38414.094,8.940043
10,265.36707,39784.746,9.862853
11,247.51237,37692.812,9.446177
12,244.6241,37631.266,9.766861
13,244.33116,37639.445,8.259957
14,239.56726,37080.09,4.948749
15,237.93582,35984.586,6.380184
16,246.16476,36993.395,9.192644
17,236.5171,35459.22,10.027097
18,229.52425,35013.277,5.742009
19,226.13599,34285.758,6.794926
20,219.62498,33680.645,9.750145
21,224.69997,34740.08,10.815061
22,237.16385,36488.164,8.338393
23,233.97038,36088.715,8.2927885
24,238.07733,36472.01,7.8451056
25,239.40645,36381.85,8.797137
26,241.85963,36622.35,9.037703
27,242.11743,36704.875,9.279853
28,230.0951,35434.594,9.278873
29,226.11275,34891.27,10.440412
30,236.69882,35917.285,10.080595
31,238.77817,36285.957,10.690869
32,235.64507,35883.684,9.776131
33,229.79565,34969.45,8.525215
34,229.40459,34852.883,8.386909
35,232.78363,35251.54,8.970873
36,232.66797,35031.17,9.541459
37,190.47368,29146.703,10.813337
38,180.6271,27315.674,8.334419
39,161.78731,26447.12,11.612246
40,129.79167,21534.412,15.968245
41,211.73521,34220.445,14.431372
42,264.19528,42595.766,14.059953
43,239.21921,37647.164,11.902721
44,288.4003,44540.965,10.423841
45,256.3615,38923.33,11.520223
46,246.14505,37771.34,10.479449
47,251.25418,38072.31,10.397054
48,252.70808,38563.48,12.5558405
49,226.2555,33725.504,10.854934
50,234.52544,35481.297,8.173658
51,230.79434,34788.79,11.902152
52,220.17427,33446.42,5.761773
53,234.48233,35561.246,4.9743414
54,245.55386,37190.816,12.854514
55,241.16673,37081.95,11.857427
56,249.16376,37751.58,6.6946716
57,240.9369,36265.184,10.037513
58,238.32846,36162.715,11.328473
59,243.021,35865.836,11.757393
60,234.65327,35371.848,11.008946
61,233.64903,35405.438,12.743945
62,243.05551,36616.023,9.734101
63,239.8782,36006.77,12.338004
64,225.85957,33055.38,12.042225
65,232.23006,33449.957,9.72209
66,228.04292,33228.316,11.13097
67,226.42374,32864.52,10.621495
68,219.82729,32140.795,9.323676
69,229.26636,33289.62,8.92748
