,DATEPRD,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,DP_CHOKE_SIZE,AVG_WHP_P,AVG_WHT_P,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL
11077,2013-05-08,24.0,,,,,0.0,,,,,,5351.4
11078,2013-05-09,24.0,,,,,0.0,,,,,,5362.3
11079,2013-05-10,24.0,,,,,0.0,,,,,,5370.9
11080,2013-05-11,24.0,,,,,0.0,,,,,,5329.84191875
11081,2013-05-12,24.0,,,,,0.0,,,,,,5351.56
11082,2013-05-13,24.0,,,,,0.0,,,,,,5246.218
11083,2013-05-14,15.16667,,,,,0.0,,,,,,3245.4077627083334
11084,2013-05-15,24.0,,,,,0.0,,,,,,4523.8701475
11085,2013-05-16,24.0,,,,,0.0,,,,,,5220.5
11086,2013-05-17,21.83334,,,,,0.0,,,,,,3934.56953625
11087,2013-05-18,24.0,,,,,0.0,,,,,,4509.0576325
11088,2013-05-19,24.0,,,,,0.0,,,,,,4371.975150833333
11089,2013-05-20,24.0,,,,,0.0,,,,,,5320.6
11090,2013-05-21,18.05833,,,,,0.0,,,,,,4710.265891875
11091,2013-05-22,0.0,,,,,0.0,,,,,,0.0
11092,2013-05-23,2.74167,,,,,0.0,,,,,,676.1
11093,2013-05-24,24.0,,,,,0.0,,,,,,6096.772255
11094,2013-05-25,24.0,,,,,0.0,,,,,,6204.312515208333
11095,2013-05-26,24.0,,,,,0.0,,,,,,6330.405296666667
11096,2013-05-27,24.0,,,,,0.0,,,,,,6490.4866325
11097,2013-05-28,24.0,,,,,0.0,,,,,,6446.2
11098,2013-05-29,24.0,,,,,0.0,,,,,,6259.378692708333
11099,2013-05-30,24.0,,,,,0.0,,,,,,5989.83823375
11100,2013-05-31,24.0,,,,,0.0,,,,,,6094.764395833334
11101,2013-06-01,24.0,,,,,0.0,,,,,,5998.959884791667
11102,2013-06-02,24.0,,,,,0.0,,,,,,6104.741966458333
11103,2013-06-03,24.0,,,,,0.0,,,,,,5259.7
11104,2013-06-04,24.0,,,,,0.0,,,,,,5953.1080554166665
11105,2013-06-05,9.00834,,,,,0.0,,,,,,2009.7748645833333
11106,2013-06-06,9.49166,,,,,0.0,,,,,,2632.12384
11107,2013-06-07,24.0,,,,,0.0,,,,,,6440.280456666666
11108,2013-06-08,24.0,,,,,0.0,,,,,,6331.527436041667
11109,2013-06-09,18.675,,,,,0.0,,,,,,4825.0
11110,2013-06-10,18.99166,,,,,0.0,,,,,,5382.374054166667
11111,2013-06-11,24.0,,,,,0.0,,,,,,6341.0
11112,2013-06-12,24.0,,,,,0.0,,,,,,5410.0
11113,2013-06-13,24.0,,,,,0.0,,,,,,5396.0
11114,2013-06-14,24.0,,,,,0.0,,,,,,5327.0
11115,2013-06-15,24.0,,,,,0.0,,,,,,5239.0
11116,2013-06-16,24.0,,,,,0.0,,,,,,5292.0
11117,2013-06-17,24.0,,,,,0.0,,,,,,4865.0
11118,2013-06-18,24.0,,,,,0.0,,,,,,4587.6
11119,2013-06-19,24.0,,,,,0.0,,,,,,4805.992676666667
11120,2013-06-20,24.0,,,,,0.0,,,,,,5969.686740833334
11121,2013-06-21,20.34167,,,,,0.0,,,,,,4868.449184375
11122,2013-06-22,0.0,,,,,0.0,,,,,,0.0
11123,2013-06-23,0.0,,,,,0.0,,,,,,0.0
11124,2013-06-24,0.0,,,,,0.0,,,,,,0.0
11125,2013-06-25,2.40833,,,,,0.0,,,,,,299.48757125
11126,2013-06-26,24.0,,,,,0.0,,,,,,5314.660542291666
11127,2013-06-27,17.18981,,,,,0.0,,,,,,3322.3491908333335
11128,2013-06-28,21.22686,,,,,0.0,,,,,,3644.2441229166666
11129,2013-06-29,24.0,,,,,0.0,,,,,,5508.74407375
11130,2013-06-30,24.0,,,,,0.0,,,,,,5033.622543125
11131,2013-07-01,24.0,,,,,0.0,,,,,,4507.489082083333
11132,2013-07-02,24.0,,,,,0.0,,,,,,5602.709297916666
11133,2013-07-03,24.0,,,,,0.0,,,,,,5721.983626875
11134,2013-07-04,16.00834,,,,,0.0,,,,,,3834.0022352083333
11135,2013-07-05,6.40833,,,,,0.0,,,,,,1602.5595283333334
11136,2013-07-06,17.66667,,,,,0.0,,,,,,3228.2173883333335
11137,2013-07-07,24.0,,,,,0.0,,,,,,5186.552551458333
11138,2013-07-08,24.0,,,,,0.0,,,,,,6015.4528275
11139,2013-07-09,24.0,,,,,0.0,,,,,,5860.624366666667
11140,2013-07-10,24.0,,,,,0.0,,,,,,5719.270263333334
11141,2013-07-11,24.0,,,,,0.0,,,,,,5257.177284375
11142,2013-07-12,24.0,,,,,0.0,,,,,,5239.9555275
11143,2013-07-13,24.0,,,,,0.0,,,,,,5242.637954583333
11144,2013-07-14,24.0,,,,,0.0,,,,,,5217.2000358333335
11145,2013-07-15,24.0,,,,,0.0,,,,,,5357.1724925
11146,2013-07-16,24.0,,,,,0.0,,,,,,5344.0
11147,2013-07-17,24.0,,,,,0.0,,,,,,5322.65612
11148,2013-07-18,24.0,,,,,0.0,,,,,,5569.13113375
11149,2013-07-19,24.0,,,,,0.0,,,,,,5782.087463125
11150,2013-07-20,24.0,,,,,0.0,,,,,,5664.79090125
11151,2013-07-21,24.0,,,,,0.0,,,,,,5652.1766125
11152,2013-07-22,2.33333,,,,,0.0,,,,,,492.6347235416667
11153,2013-07-23,24.0,,,,,0.0,,,,,,2352.0
11154,2013-07-24,24.0,,,,,0.0,,,,,,2476.0
11155,2013-07-25,24.0,,,,,0.0,,,,,,4706.0
11156,2013-07-26,24.0,,,,,0.0,,,,,,2710.0
11157,2013-07-27,24.0,,,,,0.0,,,,,,4824.0
11158,2013-07-28,0.3,,,,,0.0,,,,,,87.0
11159,2013-07-29,9.99166,,,,,0.0,,,,,,1677.0
11160,2013-07-30,24.0,,,,,0.0,,,,,,6112.689040416667
11161,2013-07-31,24.0,,,,,0.0,,,,,,1177.4654752083334
11162,2013-08-01,0.0,,,,,0.0,,,,,,0.0
11163,2013-08-02,0.0,,,,,0.0,,,,,,0.0
11164,2013-08-03,18.05,,,,,0.0,,,,,,3283.905
11165,2013-08-04,24.0,,,,,0.0,,,,,,6043.91
11166,2013-08-05,24.0,,,,,0.0,,,,,,5832.09
11167,2013-08-06,24.0,,,,,0.0,,,,,,5794.217430208333
11168,2013-08-07,24.0,,,,,0.0,,,,,,5825.262374375
11169,2013-08-08,24.0,,,,,0.0,,,,,,5811.789076875
11170,2013-08-09,24.0,,,,,0.0,,,,,,5753.668838125
11171,2013-08-10,24.0,,,,,0.0,,,,,,5723.188400625
11172,2013-08-11,24.0,,,,,0.0,,,,,,5377.918119791667
11173,2013-08-12,23.66666,,,,,0.0,,,,,,5587.503077291667
11174,2013-08-13,24.0,,,,,0.0,,,,,,5484.195385
11175,2013-08-14,24.0,,,,,0.0,,,,,,5801.963523958333
11176,2013-08-15,24.0,,,,,0.0,,,,,,5883.078117708334
11177,2013-08-16,24.0,,,,,0.0,,,,,,5738.872505416667
11178,2013-08-17,24.0,,,,,0.0,,,,,,5632.246574583333
11179,2013-08-18,24.0,,,,,0.0,,,,,,5272.63304875
11180,2013-08-19,24.0,,,,,0.0,,,,,,5241.5207825
11181,2013-08-20,24.0,,,,,0.0,,,,,,5215.411987291666
11182,2013-08-21,24.0,,,,,0.0,,,,,,5306.499985
11183,2013-08-22,24.0,,,,,0.0,,,,,,5396.8941420833335
11184,2013-08-23,24.0,,,,,0.0,,,,,,5344.388069166666
11185,2013-08-24,24.0,,,,,0.0,,,,,,5215.95405625
11186,2013-08-25,24.0,,,,,0.0,,,,,,5255.729836458333
11187,2013-08-26,24.0,,,,,0.0,,,,,,5276.325469791666
11188,2013-08-27,24.0,,,,,0.0,,,,,,5266.565979166667
11189,2013-08-28,24.0,,,,,0.0,,,,,,5105.242256458333
11190,2013-08-29,24.0,,,,,0.0,,,,,,4869.170699791666
11191,2013-08-30,24.0,,,,,0.0,,,,,,4860.966926041667
11192,2013-08-31,24.0,,,,,0.0,,,,,,4869.744285416667
11193,2013-09-01,24.0,,,,,0.0,,,,,,4788.480575833333
11194,2013-09-02,24.0,,,,,0.0,,,,,,4789.5464179166665
11195,2013-09-03,24.0,,,,,0.0,,,,,,4709.0
11196,2013-09-04,24.0,,,,,0.0,,,,,,5245.0
11197,2013-09-05,24.0,,,,,0.0,,,,,,4498.0
11198,2013-09-06,24.0,,,,,0.0,,,,,,4355.0
11199,2013-09-07,24.0,,,,,0.0,,,,,,5260.0
11200,2013-09-08,24.0,,,,,0.0,,,,,,5331.0
11201,2013-09-09,24.0,,,,,0.0,,,,,,4788.0
11202,2013-09-10,24.0,,,,,0.0,,,,,,4478.626304375
11203,2013-09-11,24.0,,,,,0.0,,,,,,4704.503174166666
11204,2013-09-12,18.25,,,,,0.0,,,,,,3728.456875
11205,2013-09-13,0.0,,,,,0.0,,,,,,0.0
11206,2013-09-14,10.525,,,,,0.0,,,,,,1538.5906808333334
11207,2013-09-15,24.0,,,,,0.0,,,,,,6122.657798333334
11208,2013-09-16,21.5,,,,,0.0,,,,,,5283.761263333334
11209,2013-09-17,24.0,,,,,0.0,,,,,,5694.306083958333
11210,2013-09-18,10.64167,,,,,0.0,,,,,,2452.312923125
11211,2013-09-19,0.0,,,,,0.0,,,,,,0.0
11212,2013-09-20,18.525,,,,,0.0,,,,,,3693.485905625
11213,2013-09-21,11.66667,,,,,0.0,,,,,,2419.195680625
11214,2013-09-22,24.0,,,,,0.0,,,,,,5677.211380208333
11215,2013-09-23,24.0,,,,,0.0,,,,,,5674.145530208333
11216,2013-09-24,24.0,,,,,0.0,,,,,,5566.638190833333
11217,2013-09-25,24.0,,,,,0.0,,,,,,5503.577094375
11218,2013-09-26,24.0,,,,,0.0,,,,,,5490.428734375
11219,2013-09-27,13.33333,,,,,0.0,,,,,,2221.659960625
11220,2013-09-28,24.0,,,,,0.0,,,,,,4878.031745208334
11221,2013-09-29,24.0,,,,,0.0,,,,,,5650.198738125
11222,2013-09-30,24.0,,,,,0.0,,,,,,5780.917671041667
11223,2013-10-01,24.0,,,,,0.0,,,,,,5505.433227083333
11224,2013-10-02,24.0,,,,,0.0,,,,,,5441.388244375
11225,2013-10-03,24.0,,,,,0.0,,,,,,5466.434975
11226,2013-10-04,24.0,,,,,0.0,,,,,,3434.0635875
11227,2013-10-05,24.0,,,,,0.0,,,,,,5174.552825833333
11228,2013-10-06,24.0,,,,,0.0,,,,,,5481.085800416667
11229,2013-10-07,24.0,,,,,0.0,,,,,,5360.978378333333
11230,2013-10-08,24.0,,,,,0.0,,,,,,5383.6513825
11231,2013-10-09,24.0,,,,,0.0,,,,,,5557.274200416667
11232,2013-10-10,24.0,,,,,0.0,,,,,,5655.1814654166665
11233,2013-10-11,11.5,,,,,0.0,,,,,,2511.42491875
11234,2013-10-12,9.75,,,,,0.0,,,,,,1856.618125625
11235,2013-10-13,24.0,,,,,0.0,,,,,,5193.82969625
11236,2013-10-14,24.0,,,,,0.0,,,,,,5336.09336875
11237,2013-10-15,24.0,,,,,0.0,,,,,,5482.0
11238,2013-10-16,24.0,,,,,0.0,,,,,,5561.0
11239,2013-10-17,24.0,,,,,0.0,,,,,,5665.0
11240,2013-10-18,24.0,,,,,0.0,,,,,,5647.0
11241,2013-10-19,19.975,,,,,0.0,,,,,,4698.0
11242,2013-10-20,17.69167,,,,,0.0,,,,,,4186.0
11243,2013-10-21,23.16666,,,,,0.0,,,,,,5404.883402083334
11244,2013-10-22,24.0,,,,,0.0,,,,,,5649.30291
11245,2013-10-23,24.0,,,,,0.0,,,,,,5636.3
11246,2013-10-24,24.0,,,,,0.0,,,,,,4940.868
11247,2013-10-25,24.0,,,,,0.0,,,,,,5611.953475833333
11248,2013-10-26,24.0,,,,,0.0,,,,,,5816.2
11249,2013-10-27,24.14167,,,,,0.0,,,,,,4814.53
11250,2013-10-28,0.0,,,,,0.0,,,,,,0.0
11251,2013-10-29,0.0,,,,,0.0,,,,,,0.14834708333333332
11252,2013-10-30,16.19167,,,,,0.0,,,,,,2800.89648
11253,2013-10-31,24.0,,,,,0.0,,,,,,5470.475059583333
11254,2013-11-01,24.0,,,,,0.0,,,,,,5480.555946041667
11255,2013-11-02,3.30833,,,,,0.0,,,,,,709.7789172916666
11256,2013-11-03,8.19167,,,,,0.0,,,,,,1449.069565
11257,2013-11-04,24.0,,,,,0.0,,,,,,5245.413223333333
11258,2013-11-05,24.0,,,,,0.0,,,,,,5372.467765833333
11259,2013-11-06,24.0,,,,,0.0,,,,,,4788.293206875
11260,2013-11-07,24.0,,,,,0.0,,,,,,5536.728745625
11261,2013-11-08,24.0,,,,,0.0,,,,,,5557.014381666667
11262,2013-11-09,23.16667,,,,,0.0,,,,,,5331.431220208333
11263,2013-11-10,23.83333,,,,,0.0,,,,,,5514.060252708333
11264,2013-11-11,24.0,,,,,0.0,,,,,,5552.254188541667
11265,2013-11-12,23.83333,,,,,0.0,,,,,,5373.772071875
11266,2013-11-13,24.0,,,,,0.0,,,,,,5556.619147916666
11267,2013-11-14,24.0,,,,,0.0,,,,,,5514.810806041667
11268,2013-11-15,24.0,,,,,0.0,,,,,,5510.61487625
11269,2013-11-16,24.0,,,,,0.0,,,,,,5495.038177291666
11270,2013-11-17,24.0,,,,,0.0,,,,,,5532.314040833333
11271,2013-11-18,24.0,,,,,0.0,,,,,,5424.292045416667
11272,2013-11-19,24.0,,,,,0.0,,,,,,5580.749435208333
11273,2013-11-20,24.0,,,,,0.0,,,,,,5560.319595
11274,2013-11-21,24.0,,,,,0.0,,,,,,5472.070862083333
11275,2013-11-22,24.0,,,,,0.0,,,,,,5400.095946666666
11276,2013-11-23,24.0,,,,,0.0,,,,,,5473.379463333334
11277,2013-11-24,24.0,,,,,0.0,,,,,,5195.364143333333
11278,2013-11-25,24.0,,,,,0.0,,,,,,5732.197036875
11279,2013-11-26,24.0,,,,,0.0,,,,,,5597.0
11280,2013-11-27,24.0,,,,,0.0,,,,,,5534.0
11281,2013-11-28,24.0,,,,,0.0,,,,,,5844.0
11282,2013-11-29,24.0,,,,,0.0,,,,,,6113.0
11283,2013-11-30,24.0,,,,,0.0,,,,,,5526.0
11284,2013-12-01,24.0,,,,,0.0,,,,,,5856.0
11285,2013-12-02,24.0,,,,,0.0,,,,,,4696.0
11286,2013-12-03,24.0,,,,,0.0,,,,,,6041.943412916667
11287,2013-12-04,24.0,,,,,0.0,,,,,,4955.830581458334
11288,2013-12-05,23.39167,,,,,0.0,,,,,,5293.842462916667
11289,2013-12-06,16.35833,,,,,0.0,,,,,,3472.209949583333
11290,2013-12-07,24.0,,,,,0.0,,,,,,5662.625289583333
11291,2013-12-08,24.0,,,,,0.0,,,,,,5641.75068625
11292,2013-12-09,14.83333,,,,,0.0,,,,,,2973.6575627083334
11293,2013-12-10,19.05833,,,,,0.0,,,,,,4160.481487916667
11294,2013-12-11,10.94167,,,,,0.0,,,,,,138.398901875
11295,2013-12-12,24.0,,,,,0.0,,,,,,3427.847279375
11296,2013-12-13,9.0,,,,,0.0,,,,,,1796.2
11297,2013-12-14,24.0,,,,,0.0,,,,,,5043.531619791666
11298,2013-12-15,23.16667,,,,,0.0,,,,,,5259.215488333333
11299,2013-12-16,24.0,,,,,0.0,,,,,,5396.0
11300,2013-12-17,24.0,,,,,0.0,,,,,,5506.854567916666
11301,2013-12-18,24.0,,,,,0.0,,,,,,5529.7246325
11302,2013-12-19,24.0,,,,,0.0,,,,,,5576.7212525
11303,2013-12-20,19.66666,,,,,0.0,,,,,,4071.422483125
11304,2013-12-21,24.0,,,,,0.0,,,,,,5549.998420625
11305,2013-12-22,24.0,,,,,0.0,,,,,,5531.511161875
11306,2013-12-23,24.0,,,,,0.0,,,,,,5589.5144960416665
11307,2013-12-24,24.0,,,,,0.0,,,,,,5589.292563958334
11308,2013-12-25,24.0,,,,,0.0,,,,,,5603.485289791666
11309,2013-12-26,20.89167,,,,,0.0,,,,,,4776.574047291667
11310,2013-12-27,18.025,,,,,0.0,,,,,,3563.0307985416666
11311,2013-12-28,24.0,,,,,0.0,,,,,,5599.229827916667
11312,2013-12-29,24.0,,,,,0.0,,,,,,5564.254768333333
11313,2013-12-30,24.0,,,,,0.0,,,,,,5828.579750208333
11314,2013-12-31,20.91666,,,,,0.0,,,,,,4898.428470833333
11315,2014-01-01,24.0,,,,,0.0,,,,,,5468.746108541666
11316,2014-01-02,24.0,,,,,0.0,,,,,,5438.329635625
11317,2014-01-03,24.0,,,,,0.0,,,,,,5474.324058541667
11318,2014-01-04,14.30833,,,,,0.0,,,,,,3273.7293241666666
11319,2014-01-05,10.025,,,,,0.0,,,,,,1581.4321079166666
11320,2014-01-06,24.0,,,,,0.0,,,,,,5193.54818
11321,2014-01-07,24.0,,,,,0.0,,,,,,4116.752304375
11322,2014-01-08,24.0,,,,,0.0,,,,,,3962.0
11323,2014-01-09,24.0,,,,,0.0,,,,,,4913.0
11324,2014-01-10,24.0,,,,,0.0,,,,,,5814.0
11325,2014-01-11,24.0,,,,,0.0,,,,,,5674.0
11326,2014-01-12,24.0,,,,,0.0,,,,,,5614.0
11327,2014-01-13,24.0,,,,,0.0,,,,,,5659.0
11328,2014-01-14,24.0,,,,,0.0,,,,,,5644.842292291667
11329,2014-01-15,24.0,,,,,0.0,,,,,,5698.406722708333
11330,2014-01-16,24.0,,,,,0.0,,,,,,6807.386657708334
11331,2014-01-17,24.0,,,,,0.0,,,,,,7152.005692083333
11332,2014-01-18,24.0,,,,,0.0,,,,,,5819.300758541666
11333,2014-01-19,24.0,,,,,0.0,,,,,,4615.554596666667
11334,2014-01-20,24.0,,,,,0.0,,,,,,3897.9793852083335
11335,2014-01-21,24.0,,,,,0.0,,,,,,3735.221191458333
11336,2014-01-22,24.0,,,,,0.0,,,,,,3626.9423835416665
11337,2014-01-23,24.0,,,,,0.0,,,,,,3730.020141875
11338,2014-01-24,24.0,,,,,0.0,,,,,,4370.405585625
11339,2014-01-25,24.0,,,,,0.0,,,,,,5551.149353333333
11340,2014-01-26,24.0,,,,,0.0,,,,,,6540.842605416667
11341,2014-01-27,24.0,,,,,0.0,,,,,,6345.675591041667
11342,2014-01-28,23.83334,,,,,0.0,,,,,,4825.841180416666
11343,2014-01-29,8.225,,,,,0.0,,,,,,1274.1570435416666
11344,2014-01-30,1.69167,,,,,0.0,,,,,,247.84838666666667
11345,2014-01-31,24.0,,,,,0.0,,,,,,5741.554828958333
11346,2014-02-01,24.0,,,,,0.0,,,,,,6424.0
11347,2014-02-02,23.58333,,,,,0.0,,,,,,5433.213150625
11348,2014-02-03,24.0,,,,,0.0,,,,,,4765.878548125
11349,2014-02-04,24.0,,,,,0.0,,,,,,4648.0
11350,2014-02-05,24.0,,,,,0.0,,,,,,4582.074645
11351,2014-02-06,8.0,,,,,0.0,,,,,,1332.0
11352,2014-02-07,0.0,,,,,0.0,,,,,,0.0
11353,2014-02-08,5.0,,,,,0.0,,,,,,1040.0
11354,2014-02-09,24.0,,,,,0.0,,,,,,5157.0
11355,2014-02-10,16.5,,,,,0.0,,,,,,3196.0
11356,2014-02-11,18.275,,,,,0.0,,,,,,2979.929034375
11357,2014-02-12,24.0,,,,,0.0,,,,,,5481.44867875
11358,2014-02-13,24.0,,,,,0.0,,,,,,6079.517128541666
11359,2014-02-14,24.0,,,,,0.0,,,,,,6103.460364375
11360,2014-02-15,24.0,,,,,0.0,,,,,,5356.225265625
11361,2014-02-16,24.0,,,,,0.0,,,,,,5732.251967916666
11362,2014-02-17,24.0,,,,,0.0,,,,,,5822.71793375
11363,2014-02-18,16.5,,,,,0.0,,,,,,4057.0
11364,2014-02-19,24.0,,,,,0.0,,,,,,5756.877159166666
11365,2014-02-20,24.0,,,,,0.0,,,,,,5895.0
11366,2014-02-21,23.16667,,,,,0.0,,,,,,4379.0
11367,2014-02-22,23.125,,,,,0.0,,,,,,4065.381583125
11368,2014-02-23,13.125,,,,,0.0,,,,,,3681.0
11369,2014-02-24,23.83,,,,,0.0,,,,,,5684.0
11370,2014-02-25,24.0,,,,,0.0,,,,,,5764.22314375
11371,2014-02-26,24.0,,,,,0.0,,,,,,5782.96225
11372,2014-02-27,24.0,,,,,0.0,,,,,,5932.478813541667
11373,2014-02-28,24.0,,,,,0.0,,,,,,5891.574173333333
11374,2014-03-01,24.0,,,,,0.0,,,,,,5354.042175416666
11375,2014-03-02,24.0,,,,,0.0,,,,,,4895.466049166666
11376,2014-03-03,24.0,,,,,0.0,,,,,,4823.8256295833335
11377,2014-03-04,24.0,,,,,0.0,,,,,,5213.193847083333
11378,2014-03-05,24.0,,,,,0.0,,,,,,5950.0
11379,2014-03-06,24.0,,,,,0.0,,,,,,5927.2
11380,2014-03-07,24.0,,,,,0.0,,,,,,6014.584006875
11381,2014-03-08,24.0,,,,,0.0,,,,,,6101.3
11382,2014-03-09,24.0,,,,,0.0,,,,,,6138.6
11383,2014-03-10,24.0,,,,,0.0,,,,,,6163.9
11384,2014-03-11,24.0,,,,,0.0,,,,,,6135.884200833333
11385,2014-03-12,24.0,,,,,0.0,,,,,,6042.583068333333
11386,2014-03-13,24.0,,,,,0.0,,,,,,5531.8
11387,2014-03-14,24.0,,,,,0.0,,,,,,4937.124085
11388,2014-03-15,23.66667,,,,,0.0,,,,,,5405.94113625
11389,2014-03-16,24.0,,,,,0.0,,,,,,5474.75611875
11390,2014-03-17,24.0,,,,,0.0,,,,,,5135.886833333333
11391,2014-03-18,24.0,,,,,0.0,,,,,,4982.902534583333
11392,2014-03-19,24.0,,,,,0.0,,,,,,5064.09133125
11393,2014-03-20,24.0,,,,,0.0,,,,,,5485.251655625
11394,2014-03-21,24.0,,,,,0.0,,,,,,5664.945861875
11395,2014-03-22,15.5,,,,,0.0,,,,,,2899.98866875
11396,2014-03-23,24.0,,,,,0.0,,,,,,5607.331749166667
11397,2014-03-24,6.39167,,,,,0.0,,,,,,1404.8862495833334
11398,2014-03-25,9.60833,,,,,0.0,,,,,,1875.3721197916666
11399,2014-03-26,24.0,,,,,0.0,,,,,,5983.968550625
11400,2014-03-27,14.66666,,,,,0.0,,,,,,2705.0848841666666
11401,2014-03-28,24.0,,,,,0.0,,,,,,4082.0062179166666
11402,2014-03-29,17.16666,,,,,0.0,,,,,,2590.663088125
11403,2014-03-30,23.0,,,,,0.0,,,,,,5151.231978478261
11404,2014-03-31,24.0,,,,,0.0,,,,,,5353.399208125
11405,2014-04-01,24.0,,,,,0.0,,,,,,5472.0
11406,2014-04-02,24.0,,,,,0.0,,,,,,5697.0
11407,2014-04-03,24.0,,,,,0.0,,,,,,5689.0
11408,2014-04-04,24.0,,,,,0.0,,,,,,5771.0
11409,2014-04-05,24.0,,,,,0.0,,,,,,5946.0
11410,2014-04-06,18.16667,,,,,0.0,,,,,,4371.0
11411,2014-04-07,21.0,,,,,0.0,,,,,,3509.0
11412,2014-04-08,24.0,,,,,0.0,,,,,,5995.272300833333
11413,2014-04-09,24.0,,,,,0.0,,,,,,6409.375
11414,2014-04-10,20.375,,,,,0.0,,,,,,4327.183690208333
11415,2014-04-11,24.0,,,,,0.0,,,,,,6066.184166041667
11416,2014-04-12,24.0,,,,,0.0,,,,,,6078.820976875
11417,2014-04-13,24.0,,,,,0.0,,,,,,6437.642531875
11418,2014-04-14,24.0,,,,,0.0,,,,,,6492.209060416667
11419,2014-04-15,24.0,,,,,0.0,,,,,,6606.742873541667
11420,2014-04-16,24.0,,,,,0.0,,,,,,6834.439819375
11421,2014-04-17,24.0,,,,,0.0,,,,,,6996.869187291667
11422,2014-04-18,24.0,,,,,0.0,,,,,,7078.729918541667
11423,2014-04-19,24.0,,,,,0.0,,,,,,7126.449447916667
11424,2014-04-20,24.0,,,,,0.0,,,,,,6342.5776525
11425,2014-04-21,24.0,,,,,0.0,,,,,,5662.274117083333
11426,2014-04-22,24.0,,,,,0.0,,,,,,5789.492553541667
11427,2014-04-23,24.0,,,,,0.0,,,,,,6465.918884166666
11428,2014-04-24,24.0,,,,,0.0,,,,,,6158.8
11429,2014-04-25,24.0,,,,,0.0,,,,,,6412.503662083333
11430,2014-04-26,24.0,,,,,0.0,,,,,,6499.575362708333
11431,2014-04-27,24.0,,,,,0.0,,,,,,6968.375565208334
11432,2014-04-28,24.0,,,,,0.0,,,,,,7116.851197083333
11433,2014-04-29,24.0,,,,,0.0,,,,,,7468.198943958333
11434,2014-04-30,24.0,,,,,0.0,,,,,,7524.983123958334
11435,2014-05-01,24.0,,,,,0.0,,,,,,7672.1511083333335
11436,2014-05-02,24.0,,,,,0.0,,,,,,7674.804871041667
11437,2014-05-03,24.0,,,,,0.0,,,,,,7836.5824589583335
11438,2014-05-04,24.0,,,,,0.0,,,,,,7986.122268958334
11439,2014-05-05,24.0,,,,,0.0,,,,,,8331.10108875
11440,2014-05-06,24.0,,,,,0.0,,,,,,8681.171187708333
11441,2014-05-07,24.0,,,,,0.0,,,,,,8436.018372083334
11442,2014-05-08,14.825,,,,,0.0,,,,,,4928.276713125
11443,2014-05-09,0.0,,,,,0.0,,,,,,0.0
11444,2014-05-10,0.0,,,,,0.0,,,,,,0.0
11445,2014-05-11,0.0,,,,,0.0,,,,,,0.0
11446,2014-05-12,0.0,,,,,0.0,,,,,,0.0288825
11447,2014-05-13,0.0,,,,,0.0,,,,,,0.0
11448,2014-05-14,15.50834,,,,,0.0,,,,,,2052.0
11449,2014-05-15,24.0,,,,,0.0,,,,,,3118.0
11450,2014-05-16,24.0,,,,,0.0,,,,,,3068.0
11451,2014-05-17,24.0,,,,,0.0,,,,,,3013.0
11452,2014-05-18,24.0,,,,,0.0,,,,,,3065.0
11453,2014-05-19,24.0,,,,,0.0,,,,,,3117.0
11454,2014-05-20,24.0,,,,,0.0,,,,,,3122.9751987234044
11455,2014-05-21,24.0,,,,,0.0,,,,,,4245.588256666667
11456,2014-05-22,24.0,,,,,0.0,,,,,,8628.620803541668
11457,2014-05-23,24.0,,,,,0.0,,,,,,8157.010635625
11458,2014-05-24,24.0,,,,,0.0,,,,,,7993.556076875
11459,2014-05-25,24.0,,,,,0.0,,,,,,4218.895873541666
11460,2014-05-26,24.0,,,,,0.0,,,,,,6822.14
11461,2014-05-27,24.0,,,,,0.0,,,,,,6621.49105875
11462,2014-05-28,24.0,,,,,0.0,,,,,,6750.105789166667
11463,2014-05-29,24.0,,,,,0.0,,,,,,6745.316895
11464,2014-05-30,24.0,,,,,0.0,,,,,,6817.313811875
11465,2014-05-31,24.0,,,,,0.0,,,,,,7086.904952708333
11466,2014-06-01,24.0,,,,,0.0,,,,,,7190.283005416667
11467,2014-06-02,20.08333,,,,,0.0,,,,,,5661.775183333333
11468,2014-06-03,24.0,,,,,0.0,,,,,,6874.133285625
11469,2014-06-04,24.0,,,,,0.0,,,,,,7016.650764791667
11470,2014-06-05,22.74643,,,,,0.0,,,,,,7184.665908541667
11471,2014-06-06,24.0,,,,,0.0,,,,,,7034.715225625
11472,2014-06-07,24.0,,,,,0.0,,,,,,7047.513488125
11473,2014-06-08,24.0,,,,,0.0,,,,,,7201.466293125
11474,2014-06-09,24.0,,,,,0.0,,,,,,7315.023223958333
11475,2014-06-10,24.0,,,,,0.0,,,,,,7050.862685416667
11476,2014-06-11,24.0,,,,,0.0,,,,,,6944.312927083333
11477,2014-06-12,24.0,,,,,0.0,,,,,,6967.020476875
11478,2014-06-13,24.0,,,,,0.0,,,,,,7031.790420625
11479,2014-06-14,24.0,,,,,0.0,,,,,,7001.626511458333
11480,2014-06-15,24.0,,,,,0.0,,,,,,6964.149078333333
11481,2014-06-16,24.0,,,,,0.0,,,,,,6955.9
11482,2014-06-17,24.0,,,,,0.0,,,,,,6956.437134375
