,DATEPRD,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,DP_CHOKE_SIZE,AVG_WHP_P,AVG_WHT_P,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
356,2015-03-29,24.0,214.86722795454546,108.17622931818183,179.8331609090909,57.23280326086957,6.4257172727272724,35.03406704545455,72.43252159090909,550.72,79169.64,757.13
357,2015-03-30,24.0,212.16489553191488,108.203585625,177.8845192819149,63.47054083333333,5.298848541666667,34.28037625,72.81056625,624.44,90173.3,779.34
358,2015-03-31,24.0,208.36728833333333,108.214961875,175.392838125,65.01727458333333,4.234798541666667,32.97445020833333,73.4941675,622.85,88513.65,758.52
359,2015-04-01,6.45833,211.3002012316342,107.04089362153994,182.84436683506416,17.946539583333333,0.5228182270648913,28.455834396570012,34.81366962093916,57.52,8421.71,82.16
378,2015-04-20,16.375,275.58731473282444,106.03769748091604,238.97582465648856,31.6905675,18.501988167938933,36.611490076335876,31.72141961832061,81.91,11892.81,490.87
379,2015-04-21,24.0,262.8739525,108.01530729166667,229.99672958333332,52.61598541666667,20.16099,32.87722291666667,74.117049375,172.87,25443.87,1263.33
380,2015-04-22,24.0,253.767355625,108.15864229166667,216.692483125,52.5973525,21.688651041666667,37.0748725,76.61395916666666,268.47,39276.35,1093.31
381,2015-04-23,24.0,248.85294395833333,108.14513729166667,209.48844395833333,52.658717708333334,15.133004166666666,39.3645,72.49167791666666,320.34,46340.29,879.08
382,2015-04-24,24.0,246.51121979166666,108.107439375,206.76545333333334,52.65301916666667,10.816299583333333,39.745766458333335,66.226455,318.85,46150.43,877.01
383,2015-04-25,24.0,243.69955270833333,108.11074916666666,204.34766729166665,52.70381208333333,10.419662708333334,39.35188541666667,67.09281125,340.53,49280.04,822.81
384,2015-04-26,24.0,241.28773604166668,108.10207229166667,202.55864520833333,52.70324479166667,9.821548958333333,38.72909083333333,67.04715145833333,339.92,49138.37,770.94
385,2015-04-27,24.0,236.87078895833332,108.196923125,198.18931541666666,55.266608958333336,9.703193333333333,38.68147354166667,70.35926645833334,396.95,57219.1,899.34
386,2015-04-28,24.0,232.02757208333333,108.22723291666667,194.032926875,56.90749458333333,8.996435833333333,37.99464520833333,71.303924375,443.99,63898.13,911.0
387,2015-04-29,24.0,224.94327354166666,108.28947229166667,187.74535916666667,59.771223125,8.284603958333333,37.197914375,76.52687270833333,574.96,82467.28,814.2
388,2015-04-30,24.0,219.36683541666667,108.28421604166667,183.723598125,62.13158229166667,6.733651875,35.643237291666665,77.13500020833334,607.87,87181.43,921.11
389,2015-05-01,24.0,213.64069333333333,108.28916229166667,179.56738291666667,65.019064375,5.308860625,34.073310416666665,77.72017854166667,664.96,94868.52,926.26
390,2015-05-02,24.0,210.47946729166668,108.26396979166667,178.23948041666668,68.38614583333333,3.5803683333333334,32.239986875,76.67961416666667,621.12,88495.68,868.75
391,2015-05-03,9.70833,209.44214019944727,108.2326231636749,178.18448286545677,28.405128958333332,2.6778549532205846,31.2576573339905,75.01007179070963,211.5,30482.87,298.81
410,2015-05-22,7.375,264.55074338983053,107.26373983050847,235.4514866101695,22.223388958333334,12.029144406779661,29.099256779661015,66.36111644067796,143.08,20890.14,228.12
411,2015-05-23,24.0,249.19537208333333,108.20135625,220.21617979166666,73.66493208333333,6.574285208333333,28.979192291666667,83.420484375,502.61,76174.53,768.26
412,2015-05-24,24.0,235.034919375,108.32018,199.96609875,68.76318791666667,5.730275625,35.068820625,78.99747520833333,537.12,78842.94,864.41
413,2015-05-25,24.0,233.43053645833334,108.16913729166667,197.15619604166668,57.351834375,7.481208958333333,36.27434041666667,74.119439375,504.77,74291.45,803.3
414,2015-05-26,24.0,232.597249375,108.10339166666667,197.78529166666667,56.38096854166667,6.0599895833333335,34.81195770833333,70.58330666666667,353.36,51937.64,762.44
415,2015-05-27,20.0,232.83395479166666,107.77378708333333,200.6650975,56.4645325,3.4820341666666668,32.16885729166667,56.42825229166667,294.17,43076.57,647.12
430,2015-06-11,10.44986,272.69063377042374,106.90409913966312,239.0701156996936,22.757833541666667,16.67657233011734,33.620518070730135,43.10506678363155,83.28,12120.39,435.49
431,2015-06-12,24.0,259.989081875,107.94494979166667,226.55001625,60.862071666666665,5.694804375,33.439065625,74.2487475,212.85,31054.74,1287.37
432,2015-06-13,24.0,253.84501875,108.068313125,217.27801729166666,54.85205479166667,8.827325416666667,36.56700145833333,74.56848708333334,256.04,36917.37,1013.18
433,2015-06-14,24.0,251.02736666666667,108.02531083333334,212.33480625,51.820223125,10.960642291666666,38.692560416666666,67.97954229166666,235.07,34214.48,746.84
434,2015-06-15,24.0,248.76812333333334,108.02180145833333,209.87778375,51.75249770833334,11.152949375,38.890339583333336,66.47582645833333,240.06,34789.31,703.21
435,2015-06-16,24.0,246.559396875,107.98906916666667,208.353694375,51.4827875,10.496157291666666,38.2057025,63.713067083333335,245.4,35542.65,603.86
436,2015-06-17,24.0,245.20212645833334,107.960440625,207.843325625,51.35455979166667,9.604126458333333,37.35880083333333,60.13051,221.41,32378.43,550.44
437,2015-06-18,24.0,243.781339375,107.9626325,207.08969375,51.822890625,8.92555,36.691645625,62.83206270833333,223.27,32481.18,544.72
438,2015-06-19,24.0,242.22255375,107.976584375,206.11444666666668,52.09687666666667,8.345849791666666,36.10810708333333,63.52119208333333,229.63,34081.21,554.54
439,2015-06-20,24.0,240.637585,107.98367625,205.19208104166665,52.4484025,7.6917225,35.44550395833333,63.16937229166667,219.05,32411.65,556.43
440,2015-06-21,24.0,239.84811166666665,107.95585145833333,205.37853979166667,52.694649375,6.70292375,34.469571875,62.14482604166667,204.65,30485.3,535.84
441,2015-06-22,24.0,238.53256041666666,108.00398625,203.96021104166667,53.39161958333333,6.8125310416666665,34.572349375,64.54508916666667,211.31,31255.55,548.94
442,2015-06-23,24.0,234.81089625,108.14835479166666,199.12921395833334,55.361808958333334,7.941432916666667,35.68168229166667,70.45132104166667,337.64,49947.53,745.74
