,DATEPRD,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,DP_CHOKE_SIZE,AVG_WHP_P,AVG_WHT_P,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
8027,2014-01-16,24.0,241.77085787234043,104.89894425531915,185.9001114893617,8.660589583333334,27.966258510638298,55.87074638297872,16.900087659574467,351.05,52394.9,10.0
8028,2014-01-17,24.0,213.85184404255318,106.29272936170213,162.21385829787235,9.470373125,22.346975531914893,51.637985744680854,22.362967234042554,485.34,72058.82,10.0
8029,2014-01-18,24.0,206.614838125,106.37527895833334,157.92570145833332,9.687737708333334,19.858915416666665,48.68913666666667,22.230420625,513.12,77600.88,10.0
8030,2014-01-19,24.0,203.074779375,106.39221,156.50977666666665,9.730941666666666,18.043991458333334,46.56500270833333,20.959422291666666,497.55,72928.16,10.0
8031,2014-01-20,24.0,203.9806129787234,106.31692085106383,157.11039234042553,9.401241875,18.355369574468085,46.87022063829787,21.19355936170213,469.59,67199.15,10.0
8032,2014-01-21,24.0,201.56783208333334,106.334635,155.71256625,9.581254583333333,17.349328958333334,45.855265833333334,22.554590416666667,479.09,68123.46,10.0
8033,2014-01-22,24.0,199.66616854166668,106.34316791666667,154.66752520833333,9.535895416666667,16.499835625,44.998643333333334,22.470558125,495.13,69287.43,10.0
8034,2014-01-23,24.0,200.19240416666668,106.29650208333334,155.05717729166668,9.414595208333333,16.587400625,45.135226875,23.343975208333333,430.23,60809.77,10.0
8035,2014-01-24,24.0,200.63757916666665,106.26754395833333,155.43263854166668,9.400358541666666,16.686859791666667,45.204940625,22.776149166666666,409.09,58874.59,10.0
8036,2014-01-25,24.0,200.993388125,106.24757270833334,155.74569916666667,9.358247083333334,16.7061725,45.247688958333335,26.750426666666666,443.84,65515.4,10.0
8037,2014-01-26,24.0,200.4885375,106.257081875,155.466623125,9.375728333333333,16.486470833333332,45.021914375,24.839793958333335,360.8,51613.55,10.0
8038,2014-01-27,24.0,200.17637395833333,106.261215625,155.33559583333334,9.40478125,16.257222083333332,44.840778125,20.16071833333333,362.03,49963.0,10.0
8039,2014-01-28,24.0,201.55317458333334,106.213475625,156.31565333333333,9.34953125,16.700559583333334,45.23752125,21.593717291666668,377.77,54599.85,10.0
8042,2014-02-01,24.0,200.39694,106.32641166666667,155.16635083333333,4.168392291666667,15.864593125,45.23058916666667,21.420841458333335,356.46,54305.49,10.0
8043,2014-02-02,24.0,200.858843125,106.334010625,155.39001666666667,3.7422702083333332,16.132748958333334,45.46882645833333,27.256154166666665,338.4,50474.03,10.0
8044,2014-02-03,24.0,200.12807520833334,106.36133916666667,154.9292975,3.700244166666667,15.88680125,45.19877770833333,27.990312291666665,336.0,49831.35,10.0
8045,2014-02-04,24.0,199.892765,106.36752458333333,154.827121875,3.6019454166666667,15.767951458333334,45.065643125,25.6518825,325.52,48305.93,10.0
8046,2014-02-05,24.0,200.06418145833334,106.36318291666667,155.00139833333333,3.44367375,15.651146875,45.062783125,24.855990833333333,312.16,46243.99,10.0
8047,2014-02-06,7.875,201.7136277777778,106.33443793650794,156.6006215873016,1.9830622916666667,13.978302698412698,45.11300619047619,23.01577349206349,117.66,18016.4,10.0
8048,2014-02-08,21.94167,218.03792609174232,105.66641611519543,165.10482988103,3.0442360416666667,23.856783064110434,52.933096210712314,21.40113041932542,381.23,55852.04,10.0
8049,2014-02-09,24.0,200.95128395833333,106.43188083333334,155.22622875,4.865123333333333,16.38310583333333,45.72505520833333,27.181182291666666,373.59,56014.72,10.0
8050,2014-02-10,12.0,205.63507097197154,106.08563944728719,158.53068808863128,5.091690833333334,17.149805187127946,47.10438288334026,26.717520202355246,334.24,53596.15,10.0
8051,2014-02-11,15.39167,200.27358331126513,106.45716559909354,155.38222637418812,4.161076666666666,14.745877413860875,44.891356937077006,29.053514838136472,262.69,42216.21,10.0
8052,2014-02-12,23.275,210.4263482491944,106.00057378088077,161.44391120300753,3.617795625,18.253570998925888,48.982437046186895,24.66243558539205,334.29,50976.28,10.0
8053,2014-02-13,24.0,199.808958125,106.47624333333333,154.71611916666666,3.9589795833333334,15.595667708333334,45.09283895833333,25.794924375,369.51,55984.34,10.0
8054,2014-02-14,24.0,199.951508125,106.46725583333334,154.80612625,3.667383958333333,15.776161875,45.145381875,29.193689166666665,348.32,52646.72,10.0
8055,2014-02-15,24.0,199.247756875,106.48049125,154.40135583333333,3.599477708333333,15.844426041666667,44.84640104166667,28.017546875,337.97,50820.51,10.0
8056,2014-02-16,24.0,200.85271666666668,106.43135791666667,155.522033125,3.2386445833333335,15.980713958333334,45.330683541666666,31.097239791666667,308.48,46421.56,10.0
8057,2014-02-17,24.0,200.86461520833333,106.43295395833333,155.58744229166666,3.224255,15.9406375,45.277172916666665,33.2395225,262.46,40059.75,10.0
8058,2014-02-18,11.16667,208.11281397250926,105.98383916326891,163.05122770356786,2.864869166666667,15.611102735837989,45.06158626894141,29.001641566563713,134.26,21255.34,10.0
8059,2014-02-19,24.0,203.093820625,106.299145625,157.45608875,3.5141120833333335,16.036497916666665,45.637731875,28.963912708333332,301.33,45778.83,10.0
8060,2014-02-20,24.0,199.764593125,106.455890625,155.25966145833334,3.2550566666666665,14.909799166666666,44.504931666666664,26.18108125,281.26,42584.03,10.0
8061,2014-02-21,24.0,200.71180291666667,106.44118083333333,155.600225625,2.989846875,15.519807291666666,45.11157729166667,27.704847916666665,255.93,38815.66,10.0
8062,2014-02-22,24.0,201.18107333333333,106.42929625,155.88736895833333,2.8695320833333335,15.717598125,45.293704375,28.3495125,252.46,38050.15,10.0
8063,2014-02-23,24.0,200.95318458333333,106.441115,155.76992708333333,2.9197922916666665,15.642391458333334,45.1832575,27.96166291666667,250.86,38162.15,10.0
8064,2014-02-24,24.0,200.59954791666667,106.44462375,155.4578625,2.9129672916666665,15.611674166666667,45.14168541666667,29.162528958333333,278.48,42001.67,10.0
8065,2014-02-25,24.0,199.22628104166665,105.76786708333333,154.26869125,2.8791364583333334,15.42560375,44.95758979166666,27.429083125,268.59,40627.09,10.0
8066,2014-02-26,24.0,200.61010833333333,106.43321875,155.54759458333334,2.8460875,15.528678333333334,45.06251375,28.2599475,265.37,39984.31,10.0
8067,2014-02-27,24.0,200.17543020833332,106.442055,155.340266875,2.8090641666666665,15.308560208333333,44.835163333333334,28.185726041666666,259.99,39351.01,10.0
8068,2014-02-28,24.0,200.53952916666665,106.42807395833333,155.62730875,2.67102875,15.39381875,44.91222041666666,30.972260625,251.09,37808.18,10.0
8069,2014-03-01,24.0,200.09674916666665,106.437318125,155.22082333333333,2.6437039583333335,15.333023125,44.87592583333333,29.776747291666666,242.16,36588.75,10.0
8070,2014-03-02,24.0,199.96521854166667,106.44109979166667,155.098725,2.617455,15.171215208333333,44.866493541666664,26.78154375,239.92,36666.03,10.0
8071,2014-03-03,24.0,199.91585574468084,106.4424270212766,155.03634021276596,2.4646272916666665,15.366482340425533,44.87951553191489,25.180819361702127,236.48,35871.22,10.0
8072,2014-03-04,24.0,200.341785625,106.43325229166666,155.40722875,2.4385252083333335,15.442042083333334,44.934556875,28.074760833333332,226.36,34427.49,10.0
8073,2014-03-05,24.0,200.15247,106.45638333333333,155.4209725,2.368876875,15.257360833333333,44.7314975,30.497298541666666,232.62,35215.12,10.0
8074,2014-03-06,24.0,200.40172041666668,106.44988354166667,155.87102395833332,2.3387191666666665,15.073222083333333,44.53069645833333,29.602959375,230.65,34643.7,10.0
8075,2014-03-07,24.0,200.11596854166666,106.46287125,155.93768291666666,2.410869583333333,14.707312916666666,44.178285625,29.780717708333334,231.96,35344.67,10.0
