,Unnamed: 0,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
count,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0
mean,1182.0,249.09424859581011,102.09720691660108,209.73869613460175,78.4803535116964,39.35555246120837,9.519099138240204,1217.0375644820294,180380.40955179706,2968.531260042283
std,682.8610156295838,14.471301436801374,3.3473661033765834,22.442530469903314,24.810998836649492,12.613336594862552,11.11225106871131,1052.866562112514,149356.18397313682,934.5561822838836
min,0.0,135.62582895833333,54.63770774468085,103.13973583333332,20.30278583333333,27.18542,1.4507014583333333,100.33,5928.54,100.16
25%,591.0,241.724486875,99.73400729166669,197.38783416666664,55.84897645833333,31.27503333333333,2.36325144343612,322.41,49848.46,2694.0
50%,1182.0,247.56417541666667,101.14043702127658,208.74569958333333,97.91666666666669,32.84173375,4.13229,950.38,151088.07,3203.3
75%,1773.0,261.77901726597537,105.05177729166668,230.242463125,100.0,42.23162083333333,11.312569069964,1876.97,285954.06,3541.83
max,2364.0,281.30456645833334,106.77273333333332,239.8365225,100.0,115.06117541666669,82.88957895833333,5644.37,786328.36,5691.77
