,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
1,303.033518125,105.40269583333334,182.1449420833333,22.83298645833333,120.88857604166668,89.6201475,1869.7,285246.16,7.13
2,295.58606133333336,105.77548622222223,181.86788666666664,31.249966444444446,113.71817466666668,80.12046511111113,3124.09,509954.88,1.16
3,297.66270211663067,105.75187535637149,180.83206045356368,28.518930212765962,116.83064166306696,84.25099043196546,2608.28,383426.67,0.97
4,295.9355189583333,105.811114375,180.50104479166663,30.227902291666666,115.43447416666666,82.35902625,3051.8,418474.0,4.89
5,295.5516572916667,105.83129916666668,180.3457808333333,29.97405208333333,115.20587645833334,82.16850104166667,2982.63,422763.0,1.85
6,294.2110628260869,105.86646695652172,180.92924760869565,30.30840304347826,113.2818152173913,80.26304456521737,2980.52,413831.0,6.48
7,293.829243125,105.86795833333332,180.06011520833337,30.48697666666667,113.76912791666666,81.27494916666667,3046.19,429218.0,0.73
8,293.0614802083333,105.87933021276596,179.66174354166668,29.907024375,113.39973666666668,80.77392092198582,3057.18,442982.75,0.46
9,292.5402470833333,105.88343395833333,179.433895,30.49301125,113.10635208333332,79.975169375,3030.33,423809.16,0.45
10,292.3615588469096,105.88229316314596,179.2822295892872,29.63447666666667,113.07932925762232,79.94799810529666,2907.56,397808.0,0.44
11,292.0884239965605,105.84901334553587,179.4856978094028,28.957179677419358,112.60272618715769,79.16221931346409,1851.72,252078.0,0.28
12,290.54162541666665,105.90578958333332,179.35469375,30.799615416666665,111.18693166666668,77.93204895833334,3126.7,442808.0,0.47
13,290.2081439583333,105.89569750000001,178.758408125,30.68343520833333,111.44973583333334,78.256700625,3045.54,439178.0,0.46
14,289.5361845833333,105.90156645833332,178.60267479166663,30.923040416666666,110.93350979166668,77.72319291666666,3046.54,446905.0,0.46
15,288.93326291666665,105.90246333333332,178.60774625,30.849319375,110.32551666666667,77.12799333333334,3035.54,445616.0,0.46
16,288.8482654034959,105.8960803842832,178.2195550426254,29.90044145833333,110.62871036087051,77.46549030672685,2971.55,424674.0,0.45
17,287.5143464583333,105.906833125,178.06743958333337,31.0238775,109.446906875,76.21154791666666,3070.54,450348.0,0.46
18,286.89159270833335,105.90908916666666,178.06476229166665,31.061881458333332,108.82683041666668,75.57316458333334,3068.48,447584.12,0.46
19,286.2646760416667,105.91060979166667,177.943628125,31.087440625,108.32104791666669,74.76162354166667,3066.54,446144.0,0.46
20,285.7278645833333,105.91012166666668,177.66862104166665,30.964471666666668,108.05924354166666,74.36059666666667,3043.54,443726.0,0.46
21,285.38199645833333,105.90365333333334,177.30688125,30.60221479166667,108.07511520833332,74.440533125,2983.19,430246.72,0.45
22,284.82887520833333,105.901836875,176.95958916666663,30.576489375,107.86928604166668,74.26244208333334,2967.05,437688.2,0.45
23,284.29474416666665,105.89892395833333,176.98435708333332,30.58881229166667,107.31038708333334,73.37481875,2950.88,432727.0,1.74
24,284.42368204642065,105.87815328384865,176.6699935935582,28.82495914893617,107.75368845286256,73.56844323040923,2656.62,391264.6,1.57
25,284.4131456047696,105.8712220838174,176.381698978613,27.948245625,108.03144662615652,73.79513616954348,2578.48,365769.0,1.52
26,282.38606708333333,105.90461208333332,176.45656520833333,31.159112291666666,105.929501875,71.56222083333333,2996.83,427791.0,1.77
27,281.52225791666666,105.90640479166667,176.232611875,31.305012916666666,105.28964604166669,71.062263125,3021.4,440679.0,0.6
28,280.8944389583333,105.90751458333334,176.083680625,31.37002979166667,104.81075833333334,71.28340645833333,3010.4,450972.0,0.6
29,281.0849126182965,105.89505798107255,176.0320423449001,29.858670416666666,105.05287027339642,71.86801609884333,2794.44,418887.0,0.56
30,279.48820041666664,105.91619208333331,176.04687916666663,31.642544791666666,103.44132125,70.45069875,3058.89,458524.0,0.61
31,279.1117827797153,105.911560155358,175.89233934565613,30.926781875,103.21944343405916,70.39306300246629,2964.81,428015.0,0.59
32,277.9511014583333,105.91543125,175.81110125,32.074124166666664,102.14000020833332,69.867086875,3131.37,454137.0,0.63
33,277.2925220833333,105.91714041666668,175.55344499999998,32.051666041666664,101.73907708333331,69.81334354166667,3135.37,454798.0,0.63
34,276.5644272916667,105.92080104166666,175.26535958333332,32.07361645833333,101.29906770833334,69.32178916666666,3143.37,470240.0,0.63
35,275.9827633333333,105.91885083333334,175.07195041666665,32.04643958333333,100.91081291666669,69.07361270833333,3132.37,425284.44,0.63
36,275.36289,105.91795270833332,174.90306375,32.04521979166667,100.45982625,69.104665625,3139.62,454093.33,0.63
37,274.79269416666665,105.91529458333332,174.668426875,32.01249270833333,100.12426729166668,68.91775583333333,3156.67,467465.72,0.63
38,274.07213145833333,105.91596291666669,174.49839833333337,32.087249791666665,99.573733125,68.25330854166667,3192.14,458447.4,0.64
39,273.4561072916667,105.91546583333331,174.28361125,32.07839208333333,99.17249604166666,67.79460145833333,3172.12,458028.49,0.63
40,272.8807791666667,105.91282166666667,174.087919375,32.060703333333336,98.79285979166669,67.40523645833333,3160.26,466335.26,0.63
41,272.2367566666667,105.91278583333332,173.83483,32.128393958333334,98.40192666666668,67.01133229166666,3153.35,468479.65,0.63
42,271.6835775,105.910075,173.644271875,32.04209770833333,98.039305625,66.66065520833334,3130.58,406562.1,0.63
46,271.4679408510638,105.87037574468086,174.19106978723408,32.0,97.2768710638298,65.74240063829787,3137.26,509074.88,3.39
