,DATEPRD,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,DP_CHOKE_SIZE,AVG_WHP_P,AVG_WHT_P,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL
12328,2007-09-01,,,,,,,,,,,,
12329,2007-09-02,,,,,,,,,,,,
12330,2007-09-03,,,,,,,,,,,,
12331,2007-09-04,,,,,,,,,,,,
12332,2007-09-05,,,,,,,,,,,,
12333,2007-09-06,,,,,,,,,,,,
12334,2007-09-07,,,,,,,,,,,,
12335,2007-09-08,,,,,,,,,,,,
12336,2007-09-09,,,,,,,,,,,,
12337,2007-09-10,,,,,,,,,,,,
12338,2007-09-11,,,,,,,,,,,,
12339,2007-09-12,,,,,,,,,,,,
12340,2007-09-13,,,,,,,,,,,,
12341,2007-09-14,,,,,,,,,,,,
12342,2007-09-15,,,,,,,,,,,,
12343,2007-09-16,,,,,,,,,,,,
12344,2007-09-17,,,,,,,,,,,,
12345,2007-09-18,,,,,,,,,,,,
12346,2007-09-19,,,,,,,,,,,,
12347,2007-09-20,,,,,,,,,,,,
12348,2007-09-21,,,,,,,,,,,,
12349,2007-09-22,,,,,,,,,,,,
12350,2007-09-23,,,,,,,,,,,,
12351,2007-09-24,,,,,,,,,,,,
12352,2007-09-25,,,,,,,,,,,,
12353,2007-09-26,,,,,,,,,,,,
12354,2007-09-27,,,,,,,,,,,,
12355,2007-09-28,,,,,,,,,,,,
12356,2007-09-29,,,,,,,,,,,,
12357,2007-09-30,,,,,,,,,,,,
12358,2007-10-01,,,,,,,,,,,,
12359,2007-10-02,,,,,,,,,,,,
12360,2007-10-03,,,,,,,,,,,,
12361,2007-10-04,,,,,,,,,,,,
12362,2007-10-05,,,,,,,,,,,,
12363,2007-10-06,,,,,,,,,,,,
12364,2007-10-07,,,,,,,,,,,,
12365,2007-10-08,,,,,,,,,,,,
12366,2007-10-09,,,,,,,,,,,,
12367,2007-10-10,,,,,,,,,,,,
12368,2007-10-11,,,,,,,,,,,,
12369,2007-10-12,,,,,,,,,,,,
12370,2007-10-13,,,,,,,,,,,,
12371,2007-10-14,,,,,,,,,,,,
12372,2007-10-15,,,,,,,,,,,,
12373,2007-10-16,,,,,,,,,,,,
12374,2007-10-17,,,,,,,,,,,,
12375,2007-10-18,,,,,,,,,,,,
12376,2007-10-19,,,,,,,,,,,,
12377,2007-10-20,,,,,,,,,,,,
12378,2007-10-21,,,,,,,,,,,,
12379,2007-10-22,,,,,,,,,,,,
12380,2007-10-23,,,,,,,,,,,,
12381,2007-10-24,,,,,,,,,,,,
12382,2007-10-25,,,,,,,,,,,,
12383,2007-10-26,,,,,,,,,,,,
12384,2007-10-27,,,,,,,,,,,,
12385,2007-10-28,,,,,,,,,,,,
12386,2007-10-29,,,,,,,,,,,,
12387,2007-10-30,,,,,,,,,,,,
12388,2007-10-31,,,,,,,,,,,,
12389,2007-11-01,,,,,,,,,,,,
12390,2007-11-02,,,,,,,,,,,,
12391,2007-11-03,,,,,,,,,,,,
12392,2007-11-04,,,,,,,,,,,,
12393,2007-11-05,,,,,,,,,,,,
