,DATEPRD,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,DP_CHOKE_SIZE,AVG_WHP_P,AVG_WHT_P,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL
12394,2007-11-06,,,,,,,,,,,,
12395,2007-11-07,,,,,,,,,,,,
12396,2007-11-08,,,,,,,,,,,,
12397,2007-11-09,,,,,,,,,,,,
12398,2007-11-10,,,,,,,,,,,,
12399,2007-11-11,,,,,,,,,,,,
12400,2007-11-12,,,,,,,,,,,,
12401,2007-11-13,,,,,,,,,,,,
12402,2007-11-14,,,,,,,,,,,,
12403,2007-11-15,,,,,,,,,,,,
12404,2007-11-16,,,,,,,,,,,,
12405,2007-11-17,,,,,,,,,,,,
12406,2007-11-18,,,,,,,,,,,,
12407,2007-11-19,,,,,,,,,,,,
12408,2007-11-20,,,,,,,,,,,,
12409,2007-11-21,,,,,,,,,,,,
12410,2007-11-22,,,,,,,,,,,,
12411,2007-11-23,,,,,,,,,,,,
12412,2007-11-24,,,,,,,,,,,,
12413,2007-11-25,,,,,,,,,,,,
12414,2007-11-26,,,,,,,,,,,,
12415,2007-11-27,,,,,,,,,,,,
12416,2007-11-28,,,,,,,,,,,,
12417,2007-11-29,,,,,,,,,,,,
12418,2007-11-30,,,,,,,,,,,,
12419,2007-12-01,,,,,,,,,,,,
12420,2007-12-02,,,,,,,,,,,,
12421,2007-12-03,,,,,,,,,,,,
12422,2007-12-04,,,,,,,,,,,,
12423,2007-12-05,,,,,,,,,,,,
12424,2007-12-06,,,,,,,,,,,,
12425,2007-12-07,,,,,,,,,,,,
12426,2007-12-08,,,,,,,,,,,,
12427,2007-12-09,,,,,,,,,,,,
12428,2007-12-10,,,,,,,,,,,,
12429,2007-12-11,,,,,,,,,,,,
12430,2007-12-12,,,,,,,,,,,,
12431,2007-12-13,,,,,,,,,,,,
12432,2007-12-14,,,,,,,,,,,,
12433,2007-12-15,,,,,,,,,,,,
12434,2007-12-16,,,,,,,,,,,,
12435,2007-12-17,,,,,,,,,,,,
12436,2007-12-18,,,,,,,,,,,,
12437,2007-12-19,,,,,,,,,,,,
12438,2007-12-20,,,,,,,,,,,,
12439,2007-12-21,,,,,,,,,,,,
12440,2007-12-22,,,,,,,,,,,,
12441,2007-12-23,,,,,,,,,,,,
12442,2007-12-24,,,,,,,,,,,,
12443,2007-12-25,,,,,,,,,,,,
12444,2007-12-26,,,,,,,,,,,,
12445,2007-12-27,,,,,,,,,,,,
12446,2007-12-28,,,,,,,,,,,,
12447,2007-12-29,,,,,,,,,,,,
12448,2007-12-30,,,,,,,,,,,,
12449,2007-12-31,,,,,,,,,,,,
12450,2008-01-01,0.0,,,,,0.0,,,,,,
12451,2008-01-02,0.0,,,,,0.0,,,,,,
12452,2008-01-03,0.0,,,,,0.0,,,,,,
12453,2008-01-04,0.0,,,,,0.0,,,,,,
12454,2008-01-05,0.0,,,,,0.0,,,,,,
12455,2008-01-06,0.0,,,,,0.0,,,,,,
12456,2008-01-07,0.0,,,,,0.0,,,,,,
12457,2008-01-08,0.0,,,,,0.0,,,,,,
12458,2008-01-09,0.0,,,,,0.0,,,,,,
12459,2008-01-10,0.0,,,,,0.0,,,,,,
12460,2008-01-11,0.0,,,,,0.0,,,,,,
12461,2008-01-12,0.0,,,,,0.0,,,,,,
12462,2008-01-13,0.0,,,,,0.0,,,,,,
12463,2008-01-14,0.0,,,,,0.0,,,,,,
12464,2008-01-15,0.0,,,,,0.0,,,,,,
12465,2008-01-16,0.0,,,,,0.0,,,,,,
12466,2008-01-17,0.0,,,,,0.0,,,,,,
12467,2008-01-18,0.0,,,,,0.0,,,,,,
12468,2008-01-19,0.0,,,,,0.0,,,,,,
12469,2008-01-20,0.0,,,,,0.0,,,,,,
12470,2008-01-21,0.0,,,,,0.0,,,,,,
12471,2008-01-22,,,,,,,,,,,,
12472,2008-01-23,,,,,,,,,,,,
12473,2008-01-24,,,,,,,,,,,,
12474,2008-01-25,,,,,,,,,,,,
12475,2008-01-26,,,,,,,,,,,,
12476,2008-01-27,0.0,,,,,,,,,,,
12477,2008-01-28,,,,,,,,,,,,
12478,2008-01-29,,,,,,,,,,,,
12479,2008-01-30,,,,,,,,,,,,
12480,2008-01-31,,,,,,,,,,,,
12481,2008-02-01,0.0,,,,,0.0,,,,,,
12482,2008-02-02,0.0,,,,,0.0,,,,,,
12483,2008-02-03,0.0,,,,,0.0,,,,,,
12484,2008-02-04,0.0,,,,,0.0,,,,,,
12485,2008-02-05,0.0,,,,,0.0,,,,,,
12486,2008-02-06,0.0,,,,,0.0,,,,,,
12487,2008-02-07,0.0,,,,,0.0,,,,,,
12488,2008-02-08,0.0,,,,,0.0,,,,,,
12489,2008-02-09,0.0,,,,,0.0,,,,,,
12490,2008-02-10,0.0,,,,,0.0,,,,,,
12491,2008-02-11,0.0,,,,,0.0,,,,,,
12492,2008-02-12,0.0,,,,,0.0,,,,,,
12493,2008-02-13,0.0,,,,,0.0,,,,,,
12494,2008-02-14,0.0,,,,,0.0,,,,,,
12495,2008-02-15,0.0,,,,,0.0,,,,,,
12496,2008-02-16,0.0,,,,,0.0,,,,,,
12497,2008-02-17,0.0,,,,,0.0,,,,,,
12498,2008-02-18,0.0,,,,,0.0,,,,,,
12499,2008-02-19,0.0,,,,,0.0,,,,,,
12500,2008-02-20,0.0,,,,,0.0,,,,,,
12501,2008-02-21,,,,,,,,,,,,
12502,2008-02-22,0.0,,,,,0.0,,,,,,
12503,2008-02-23,0.0,,,,,0.0,,,,,,
12504,2008-02-24,0.0,,,,,0.0,,,,,,
12505,2008-02-25,0.0,,,,,0.0,,,,,,
12506,2008-02-26,0.0,,,,,0.0,,,,,,
12507,2008-02-27,0.0,,,,,0.0,,,,,,
12508,2008-02-28,0.0,,,,,0.0,,,,,,
12509,2008-02-29,0.0,,,,,0.0,,,,,,
12510,2008-03-01,0.0,,,,,0.0,,,,,,
12511,2008-03-02,0.0,,,,,0.0,,,,,,
12512,2008-03-03,0.0,,,,,0.0,,,,,,
12513,2008-03-04,0.0,,,,,0.0,,,,,,
12514,2008-03-05,0.0,,,,,0.0,,,,,,
12515,2008-03-06,0.0,,,,,0.0,,,,,,
12516,2008-03-07,0.0,,,,,0.0,,,,,,
12517,2008-03-08,0.0,,,,,0.0,,,,,,
12518,2008-03-09,0.0,,,,,0.0,,,,,,
12519,2008-03-10,0.0,,,,,0.0,,,,,,
12520,2008-03-11,0.0,,,,,0.0,,,,,,
12521,2008-03-12,0.0,,,,,0.0,,,,,,
12522,2008-03-13,0.0,,,,,0.0,,,,,,
12523,2008-03-14,0.0,,,,,0.0,,,,,,
12524,2008-03-15,0.0,,,,,0.0,,,,,,0.0
12525,2008-03-16,0.0,,,,,0.0,,,,,,
12526,2008-03-17,0.0,,,,,0.0,,,,,,
12527,2008-03-18,0.0,,,,,0.0,,,,,,
12528,2008-03-19,0.0,,,,,0.0,,,,,,
12529,2008-03-20,0.0,,,,,0.0,,,,,,
12530,2008-03-21,0.0,,,,,0.0,,,,,,
12531,2008-03-22,0.0,,,,,0.0,,,,,,
12532,2008-03-23,0.0,,,,,0.0,,,,,,
12533,2008-03-24,0.0,,,,,0.0,,,,,,
12534,2008-03-25,0.0,,,,,0.0,,,,,,
12535,2008-03-26,0.0,,,,,0.0,,,,,,
12536,2008-03-27,0.0,,,,,0.0,,,,,,
12537,2008-03-28,0.0,,,,,0.0,,,,,,
12538,2008-03-29,0.0,,,,,0.0,,,,,,
12539,2008-03-30,0.0,,,,,0.0,,,,,,0.0
12540,2008-03-31,0.0,,,,,0.0,,,,,,
12541,2008-04-01,0.0,,,,,0.0,,,,,,
12542,2008-04-02,0.0,,,,,0.0,,,,,,
12543,2008-04-03,0.0,,,,,0.0,,,,,,
12544,2008-04-04,0.0,,,,,0.0,,,,,,
12545,2008-04-05,0.0,,,,,0.0,,,,,,
12546,2008-04-06,0.0,,,,,0.0,,,,,,
12547,2008-04-07,0.0,,,,,0.0,,,,,,
12548,2008-04-08,0.0,,,,,0.0,,,,,,
12549,2008-04-09,0.0,,,,,0.0,,,,,,
12550,2008-04-10,0.0,,,,,0.0,,,,,,
12551,2008-04-11,0.0,,,,,0.0,,,,,,
12552,2008-04-12,0.0,,,,,0.0,,,,,,
12553,2008-04-13,0.0,,,,,0.0,,,,,,
12554,2008-04-14,0.0,,,,,0.0,,,,,,
12555,2008-04-15,0.0,,,,,0.0,,,,,,
12556,2008-04-16,0.0,,,,,0.0,,,,,,
12557,2008-04-17,0.0,,,,,0.0,,,,,,
12558,2008-04-18,0.0,,,,,0.0,,,,,,
12559,2008-04-19,0.0,,,,,0.0,,,,,,
12560,2008-04-20,0.0,,,,,0.0,,,,,,
12561,2008-04-21,0.0,,,,,0.0,,,,,,
12562,2008-04-22,0.0,,,,,0.0,,,,,,
12563,2008-04-23,0.0,,,,,0.0,,,,,,
12564,2008-04-24,0.0,,,,,0.0,,,,,,
12565,2008-04-25,0.0,,,,,0.0,,,,,,
12566,2008-04-26,0.0,,,,,0.0,,,,,,
12567,2008-04-27,0.0,,,,,0.0,,,,,,
12568,2008-04-28,0.0,,,,,0.0,,,,,,
12569,2008-04-29,0.0,,,,,0.0,,,,,,
12570,2008-04-30,0.0,,,,,0.0,,,,,,
12571,2008-05-01,0.0,,,,,0.0,,,,,,
12572,2008-05-02,0.0,,,,,0.0,,,,,,
12573,2008-05-03,0.0,,,,,0.0,,,,,,
12574,2008-05-04,0.0,,,,,0.0,,,,,,
12575,2008-05-05,0.0,,,,,0.0,,,,,,
12576,2008-05-06,0.0,,,,,0.0,,,,,,
12577,2008-05-07,0.0,,,,,0.0,,,,,,
12578,2008-05-08,0.0,,,,,0.0,,,,,,
12579,2008-05-09,0.0,,,,,0.0,,,,,,
12580,2008-05-10,0.0,,,,,0.0,,,,,,
12581,2008-05-11,0.0,,,,,0.0,,,,,,
12582,2008-05-12,0.0,,,,,0.0,,,,,,
12583,2008-05-13,0.0,,,,,0.0,,,,,,
12584,2008-05-14,0.0,,,,,0.0,,,,,,
12585,2008-05-15,0.0,,,,,0.0,,,,,,
12586,2008-05-16,0.0,,,,,0.0,,,,,,
12587,2008-05-17,0.0,,,,,0.0,,,,,,
12588,2008-05-18,0.0,,,,,0.0,,,,,,
12589,2008-05-19,0.0,,,,,0.0,,,,,,
12590,2008-05-20,0.0,,,,,0.0,,,,,,
12591,2008-05-21,0.0,,,,,0.0,,,,,,
12592,2008-05-22,0.0,,,,,0.0,,,,,,
12593,2008-05-23,0.0,,,,,0.0,,,,,,
12594,2008-05-24,0.0,,,,,0.0,,,,,,
12595,2008-05-25,0.0,,,,,0.0,,,,,,
12596,2008-05-26,0.0,,,,,0.0,,,,,,
12597,2008-05-27,0.0,,,,,0.0,,,,,,
12598,2008-05-28,0.0,,,,,0.0,,,,,,
12599,2008-05-29,0.0,,,,,0.0,,,,,,
12600,2008-05-30,0.0,,,,,0.0,,,,,,
12601,2008-05-31,0.0,,,,,0.0,,,,,,
12602,2008-06-01,0.0,,,,,0.0,,,,,,
12603,2008-06-02,0.0,,,,,0.0,,,,,,
12604,2008-06-03,0.0,,,,,0.0,,,,,,
12605,2008-06-04,0.0,,,,,0.0,,,,,,
12606,2008-06-05,0.0,,,,,0.0,,,,,,
12607,2008-06-06,0.0,,,,,0.0,,,,,,
12608,2008-06-07,0.0,,,,,0.0,,,,,,
12609,2008-06-08,0.0,,,,,0.0,,,,,,
12610,2008-06-09,0.0,,,,,0.0,,,,,,
12611,2008-06-10,0.0,,,,,0.0,,,,,,
12612,2008-06-11,0.0,,,,,0.0,,,,,,
12613,2008-06-12,0.0,,,,,0.0,,,,,,
12614,2008-06-13,0.0,,,,,0.0,,,,,,
12615,2008-06-14,0.0,,,,,0.0,,,,,,
12616,2008-06-15,0.0,,,,,0.0,,,,,,
12617,2008-06-16,0.0,,,,,0.0,,,,,,
12618,2008-06-17,0.0,,,,,0.0,,,,,,
12619,2008-06-18,0.0,,,,,0.0,,,,,,
12620,2008-06-19,0.0,,,,,0.0,,,,,,
12621,2008-06-20,0.0,,,,,0.0,,,,,,
12622,2008-06-21,0.0,,,,,0.0,,,,,,
12623,2008-06-22,0.0,,,,,0.0,,,,,,
12624,2008-06-23,0.0,,,,,0.0,,,,,,
12625,2008-06-24,0.0,,,,,0.0,,,,,,
12626,2008-06-25,0.0,,,,,0.0,,,,,,
12627,2008-06-26,0.0,,,,,0.0,,,,,,
12628,2008-06-27,0.0,,,,,0.0,,,,,,
12629,2008-06-28,0.0,,,,,0.0,,,,,,
12630,2008-06-29,0.0,,,,,0.0,,,,,,
12631,2008-06-30,0.0,,,,,0.0,,,,,,
12632,2008-07-01,0.0,,,,,0.0,,,,,,
12633,2008-07-02,0.0,,,,,0.0,,,,,,
12634,2008-07-03,0.0,,,,,0.0,,,,,,
12635,2008-07-04,0.0,,,,,0.0,,,,,,
12636,2008-07-05,0.0,,,,,0.0,,,,,,
12637,2008-07-06,0.0,,,,,0.0,,,,,,
12638,2008-07-07,0.0,,,,,0.0,,,,,,
12639,2008-07-08,0.0,,,,,0.0,,,,,,
12640,2008-07-09,0.0,,,,,0.0,,,,,,
12641,2008-07-10,0.0,,,,,0.0,,,,,,
12642,2008-07-11,0.0,,,,,0.0,,,,,,
12643,2008-07-12,0.0,,,,,0.0,,,,,,
12644,2008-07-13,0.0,,,,,0.0,,,,,,
12645,2008-07-14,0.0,,,,,0.0,,,,,,
12646,2008-07-15,0.0,,,,,0.0,,,,,,
12647,2008-07-16,0.0,,,,,0.0,,,,,,
12648,2008-07-17,0.0,,,,,0.0,,,,,,
12649,2008-07-18,0.0,,,,,0.0,,,,,,
12650,2008-07-19,0.0,,,,,0.0,,,,,,
12651,2008-07-20,0.0,,,,,0.0,,,,,,
12652,2008-07-21,,,,,,,,,,,,
12653,2008-07-22,0.0,,,,,0.0,,,,,,
12654,2008-07-23,0.0,,,,,0.0,,,,,,
12655,2008-07-24,0.0,,,,,0.0,,,,,,
12656,2008-07-25,0.0,,,,,0.0,,,,,,
12657,2008-07-26,0.0,,,,,0.0,,,,,,
12658,2008-07-27,0.0,,,,,0.0,,,,,,
12659,2008-07-28,0.0,,,,,0.0,,,,,,
12660,2008-07-29,0.0,,,,,0.0,,,,,,
12661,2008-07-30,0.0,,,,,0.0,,,,,,
12662,2008-07-31,0.0,,,,,0.0,,,,,,
12663,2008-08-01,0.0,,,,,0.0,,,,,,
12664,2008-08-02,0.0,,,,,0.0,,,,,,
12665,2008-08-03,0.0,,,,,0.0,,,,,,
12666,2008-08-04,0.0,,,,,0.0,,,,,,
12667,2008-08-05,0.0,,,,,0.0,,,,,,
12668,2008-08-06,0.0,,,,,0.0,,,,,,
12669,2008-08-07,0.0,,,,,0.0,,,,,,
12670,2008-08-08,0.0,,,,,0.0,,,,,,
12671,2008-08-09,0.0,,,,,0.0,,,,,,
12672,2008-08-10,0.0,,,,,0.0,,,,,,
12673,2008-08-11,0.0,,,,,0.0,,,,,,
12674,2008-08-12,0.0,,,,,0.0,,,,,,
12675,2008-08-13,0.0,,,,,0.0,,,,,,
12676,2008-08-14,0.0,,,,,0.0,,,,,,
12677,2008-08-15,0.0,,,,,0.0,,,,,,
12678,2008-08-16,0.0,,,,,0.0,,,,,,
12679,2008-08-17,0.0,,,,,0.0,,,,,,
12680,2008-08-18,0.0,,,,,0.0,,,,,,
12681,2008-08-19,0.0,,,,,0.0,,,,,,
12682,2008-08-20,0.0,,,,,0.0,,,,,,
12683,2008-08-21,0.0,,,,,0.0,,,,,,
12684,2008-08-22,0.0,,,,,0.0,,,,,,
12685,2008-08-23,0.0,,,,,0.0,,,,,,
12686,2008-08-24,0.0,,,,,0.0,,,,,,
12687,2008-08-25,0.0,,,,,0.0,,,,,,
12688,2008-08-26,6.5,,,,,0.0,,,,,,1300.0733046153846
12689,2008-08-27,9.0,,,,,0.0,,,,,,1718.0
12690,2008-08-28,18.21,,,,,0.0,,,,,,3092.0
12691,2008-08-29,16.54167,,,,,0.0,,,,,,2224.0
12692,2008-08-30,24.0,,,,,0.0,,,,,,3206.8587725
12693,2008-08-31,23.83,,,,,0.0,,,,,,2940.0
12694,2008-09-01,24.0,,,,,0.0,,,,,,2791.058128333333
12695,2008-09-02,23.54167,,,,,0.0,,,,,,2674.100033125
12696,2008-09-03,24.0,,,,,0.0,,,,,,2637.705680625
12697,2008-09-04,24.0,,,,,0.0,,,,,,2597.39756375
12698,2008-09-05,24.0,,,,,0.0,,,,,,2524.322055625
12699,2008-09-06,21.2463,,,,,0.0,,,,,,2459.1478997674417
12700,2008-09-07,0.0,,,,,0.0,,,,,,
12701,2008-09-08,22.95463,,,,,0.0,,,,,,3359.922640851064
12702,2008-09-09,21.14167,,,,,0.0,,,,,,2395.0
12703,2008-09-10,24.0,,,,,0.0,,,,,,2518.6814572916664
12704,2008-09-11,24.0,,,,,0.0,,,,,,2480.728465625
12705,2008-09-12,24.0,,,,,0.0,,,,,,2409.628257083333
12706,2008-09-13,24.0,,,,,0.0,,,,,,2456.36047375
12707,2008-09-14,23.9963,,,,,0.0,,,,,,2381.0
12708,2008-09-15,17.29167,,,,,0.0,,,,,,1820.0
12709,2008-09-16,0.0,,,,,0.0,,,,,,
12710,2008-09-17,0.0,,,,,0.0,,,,,,
12711,2008-09-18,0.0,,,,,0.0,,,,,,
12712,2008-09-19,12.29167,,,,,0.0,,,,,,2544.0
12713,2008-09-20,24.0,,,,,0.0,,,,,,2968.4257158333335
12714,2008-09-21,7.74999,,,,,0.0,,,,,,1333.0
12715,2008-09-22,18.29167,,,,,0.0,,,,,,2388.0
12716,2008-09-23,21.5,,,,,0.0,,,,,,2817.2509555555557
12717,2008-09-24,16.04166,,,,,0.0,,,,,,3089.9523135294116
12718,2008-09-25,21.83334,,,,,0.0,,,,,,2525.491074782609
12719,2008-09-26,24.0,,,,,0.0,,,,,,2529.9712752083333
12720,2008-09-27,21.5,,,,,0.0,,,,,,2466.8269777272726
12721,2008-09-28,20.70833,,,,,0.0,,,,,,2385.1235447619047
12722,2008-09-29,23.79167,,,,,0.0,,,,,,2360.99359125
12723,2008-09-30,24.0,,,,,0.0,,,,,,1900.19842
12724,2008-10-01,24.0,,,,,0.0,,,,,,1578.5052675
12725,2008-10-02,24.0,,,,,0.0,,,,,,1375.852815625
12726,2008-10-03,24.0,,,,,0.0,,,,,,1692.30767375
12727,2008-10-04,15.5,,,,,0.0,,,,,,1829.0
12728,2008-10-05,24.0,,,,,0.0,,,,,,2399.42716625
12729,2008-10-06,18.66667,,,,,0.0,,,,,,2150.0
12730,2008-10-07,24.0,,,,,0.0,,,,,,2401.9364358333332
12731,2008-10-08,2.20833,,,,,0.0,,,,,,200.0
12732,2008-10-09,19.125,,,,,0.0,,,,,,3638.3058194871796
12733,2008-10-10,20.58333,,,,,0.0,,,,,,2609.8781941860466
12734,2008-10-11,15.90833,,,,,0.0,,,,,,2081.0
12735,2008-10-12,9.925,,,,,0.0,,,,,,3373.9663235
12736,2008-10-13,24.0,,,,,0.0,,,,,,2861.4543647916666
12737,2008-10-14,4.90833,,,,,0.0,,,,,,583.0
12738,2008-10-15,0.0,,,,,0.0,,,,,,
12739,2008-10-16,0.0,,,,,0.0,,,,,,
12740,2008-10-17,9.425,,,,,0.0,,,,,,4653.1
12741,2008-10-18,19.74167,,,,,0.0,,,,,,6560.4
12742,2008-10-19,19.75833,,,,,0.0,,,,,,5574.4197905
12743,2008-10-20,22.16667,,,,,0.0,,,,,,6311.317884
12744,2008-10-21,24.0,,,,,0.0,,,,,,8026.0
12745,2008-10-22,24.0,,,,,0.0,,,,,,6835.0
12746,2008-10-23,19.83334,,,,,0.0,,,,,,5101.0
12747,2008-10-24,23.5,,,,,0.0,,,,,,6178.5
12748,2008-10-25,24.0,,,,,0.0,,,,,,6409.0
12749,2008-10-26,25.0,,,,,0.0,,,,,,6638.0
12750,2008-10-27,21.16666,,,,,0.0,,,,,,5810.0
12751,2008-10-28,24.0,,,,,0.0,,,,,,7311.0
12752,2008-10-29,16.725,,,,,0.0,,,,,,5948.0
12753,2008-10-30,15.85833,,,,,0.0,,,,,,4720.0
12754,2008-10-31,24.0,,,,,0.0,,,,,,7404.0
12755,2008-11-01,21.5,,,,,0.0,,,,,,6790.0
12756,2008-11-02,24.0,,,,,0.0,,,,,,7384.0
12757,2008-11-03,24.0,,,,,0.0,,,,,,7879.0
12758,2008-11-04,24.0,,,,,0.0,,,,,,5935.0
12759,2008-11-05,24.0,,,,,0.0,,,,,,5732.0
12760,2008-11-06,24.0,,,,,0.0,,,,,,7433.0
12761,2008-11-07,24.0,,,,,0.0,,,,,,6948.0
12762,2008-11-08,24.0,,,,,0.0,,,,,,7539.0
12763,2008-11-09,24.0,,,,,0.0,,,,,,7700.0
12764,2008-11-10,24.0,,,,,0.0,,,,,,7537.0
12765,2008-11-11,24.0,,,,,0.0,,,,,,7486.0
12766,2008-11-12,24.0,,,,,0.0,,,,,,7222.0
12767,2008-11-13,24.0,,,,,0.0,,,,,,7485.1
12768,2008-11-14,24.0,,,,,0.0,,,,,,7528.6
12769,2008-11-15,24.0,,,,,0.0,,,,,,7482.3
12770,2008-11-16,24.0,,,,,0.0,,,,,,7530.6
12771,2008-11-17,24.0,,,,,0.0,,,,,,5699.6
12772,2008-11-18,24.0,,,,,0.0,,,,,,1111.343401875
12773,2008-11-19,22.66667,,,,,0.0,,,,,,4791.159242173913
12774,2008-11-20,24.0,,,,,0.0,,,,,,8849.715408541666
12775,2008-11-21,24.0,,,,,0.0,,,,,,7147.444362916666
12776,2008-11-22,24.0,,,,,0.0,,,,,,7532.858284375
12777,2008-11-23,24.0,,,,,0.0,,,,,,7443.154457083333
12778,2008-11-24,24.0,,,,,0.0,,,,,,8610.40924125
12779,2008-11-25,24.0,,,,,0.0,,,,,,9000.0
12780,2008-11-26,24.0,,,,,0.0,,,,,,8452.7
12781,2008-11-27,24.0,,,,,0.0,,,,,,8741.4
12782,2008-11-28,24.0,,,,,0.0,,,,,,8795.0
12783,2008-11-29,24.0,,,,,0.0,,,,,,8997.9
12784,2008-11-30,24.0,,,,,0.0,,,,,,8995.7
12785,2008-12-01,24.0,,,,,0.0,,,,,,8873.2
12786,2008-12-02,24.0,,,,,0.0,,,,,,8837.0
12787,2008-12-03,24.0,,,,,0.0,,,,,,8742.0
12788,2008-12-04,24.0,,,,,0.0,,,,,,8752.0
12789,2008-12-05,24.0,,,,,0.0,,,,,,8664.0
12790,2008-12-06,24.0,,,,,0.0,,,,,,8819.0
12791,2008-12-07,24.0,,,,,0.0,,,,,,8826.0
12792,2008-12-08,24.0,,,,,0.0,,,,,,7544.0
12793,2008-12-09,24.0,,,,,0.0,,,,,,9092.942092291667
12794,2008-12-10,24.0,,,,,0.0,,,,,,8552.00508875
12795,2008-12-11,24.0,,,,,0.0,,,,,,8196.82099875
12796,2008-12-12,22.41667,,,,,0.0,,,,,,8509.0
12797,2008-12-13,24.0,,,,,0.0,,,,,,8771.0
12798,2008-12-14,23.83333,,,,,0.0,,,,,,8237.0
12799,2008-12-15,24.0,,,,,0.0,,,,,,8747.0
12800,2008-12-16,24.0,,,,,0.0,,,,,,8777.0
12801,2008-12-17,24.0,,,,,0.0,,,,,,8695.0
12802,2008-12-18,24.0,,,,,0.0,,,,,,8820.0
12803,2008-12-19,24.0,,,,,0.0,,,,,,8900.0
12804,2008-12-20,24.0,,,,,0.0,,,,,,8890.0
12805,2008-12-21,24.0,,,,,0.0,,,,,,8580.0
12806,2008-12-22,24.0,,,,,0.0,,,,,,8696.0
12807,2008-12-23,24.0,,,,,0.0,,,,,,8220.4
12808,2008-12-24,24.0,,,,,0.0,,,,,,8644.8
12809,2008-12-25,24.0,,,,,0.0,,,,,,8834.0
12810,2008-12-26,24.0,,,,,0.0,,,,,,8888.5
12811,2008-12-27,24.0,,,,,0.0,,,,,,9045.2
12812,2008-12-28,24.0,,,,,0.0,,,,,,9110.1
12813,2008-12-29,24.0,,,,,0.0,,,,,,9114.1
12814,2008-12-30,24.0,,,,,0.0,,,,,,8952.0
12815,2008-12-31,24.0,,,,,0.0,,,,,,8869.331649791666
12816,2009-01-01,24.0,,,,,0.0,,,,,,8635.0
12817,2009-01-02,24.0,,,,,0.0,,,,,,8352.207405625
12818,2009-01-03,14.41667,,,,,0.0,,,,,,5107.0
12819,2009-01-04,24.0,,,,,0.0,,,,,,8904.003104666666
