,DATEPRD,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
1853,2015-01-23,262.869698125,99.50052833333334,232.085398125,100.0,30.7843,2.0047145833333335,309.83,45952.37,3246.39
1854,2015-01-24,262.7914517021277,99.49826744680851,231.98290212765957,100.0,30.808549574468085,2.025560425531915,308.19,45481.24,3210.5
1855,2015-01-25,262.70560191489363,99.49323829787234,231.92632574468084,100.0,30.779276170212764,1.9745108510638298,303.93,45263.08,3208.45
1856,2015-01-26,263.71824444444445,99.47966628162817,232.50362330033002,100.0,31.21462114411441,1.9832692739273927,277.44,41260.51,2913.04
1857,2015-01-27,266.667853810574,99.44397651107825,233.26343573680168,53.837049375,33.40441807377231,4.419805058470338,118.82,17461.65,1575.16
1858,2015-01-28,263.12446020833335,99.46628,231.80056520833332,100.0,31.323895,2.0638127083333333,309.9,45589.73,3117.16
1859,2015-01-29,263.261774375,99.46760333333333,231.94449104166668,100.0,31.317283333333332,2.012974375,308.96,45810.14,3099.82
1860,2015-01-30,263.2070772916667,99.47646958333333,231.929324375,100.0,31.277752916666667,2.010725208333333,277.58,40898.98,3120.11
1861,2015-01-31,265.06054841645346,99.45142239654285,233.00327170835607,77.32078208333333,32.05727670809739,3.1685230080679307,170.36,24782.23,2223.5
1862,2015-02-01,264.84484163729985,99.44614678645458,232.54352979482704,72.403036875,32.30131184247279,3.284138784922641,183.95,27129.25,2391.1
1863,2015-02-02,262.52670666666666,99.44990729166666,231.43153854166667,100.0,31.095168125,1.9257295833333334,270.25,39885.28,3093.28
1864,2015-02-03,262.9637539069056,99.45201628197673,231.8631110110296,76.40841854166666,31.100642895876028,2.085811306023773,139.66,20705.87,2729.82
1865,2015-02-04,265.6054033407242,99.42608507007016,233.02247507134382,56.67800583333333,32.58292826938039,3.606693763531844,106.75,17013.49,2064.14
1866,2015-02-05,261.7488,99.43221145833333,230.86802604166667,100.0,30.880773958333332,1.86064875,338.0,55893.04,3071.02
1867,2015-02-06,261.074970625,99.43591833333333,230.68301166666666,100.0,30.391958958333333,1.9205754166666666,206.71,31370.36,2964.45
1868,2015-02-07,261.62807125,99.46617166666667,231.20413875,100.0,30.4239325,1.9586466666666666,249.26,38556.5,3096.49
1869,2015-02-08,262.09430125,99.47379645833334,231.48582708333333,100.0,30.608474166666667,2.000547083333333,255.65,41048.47,3156.67
1870,2015-02-09,261.79407145833335,99.472379375,231.23150458333333,100.0,30.562566875,2.0227229166666665,293.78,47989.12,3179.1
1871,2015-02-10,262.19870833333334,99.49618041666666,231.550341875,100.0,30.648366458333335,2.1398791666666668,250.89,38569.43,3173.08
1872,2015-02-11,262.6230522916667,99.51957083333333,231.88873645833334,100.0,30.734315833333334,2.183820208333333,272.56,41698.13,3265.93
1873,2015-02-12,262.9943779166667,99.54222041666667,232.179720625,100.0,30.814657291666666,2.24171875,268.0,40884.38,3227.01
1874,2015-02-13,261.0517566155602,98.70545265796508,230.46372611280344,98.46565854166667,30.588030502756762,2.2229355741071117,271.96,41431.5,3232.17
