,0,1,2,,DATEPRD,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,,,,,
50,1066.5809,164526.08,56.501667,,9/26/13,1124.52,173512.2,77.6,,,1175.4608,178846.92,83.99942
51,962.29504,148988.52,49.05345,,9/27/13,299.46,49540.21,27.92,,,1168.0037,180639.33,65.71631
52,877.44196,136127.34,59.58016,,9/28/13,380.03,59608.43,30.69,,,945.8653,146752.47,44.800636
53,998.3475,153063.34,85.798416,,9/29/13,1158.6,179470.15,80.99,,,989.51807,153493.12,49.706963
54,1080.3777,165791.03,110.67453,,9/30/13,1194.95,184725.05,79.16,,,1013.14087,157408.64,58.043633
55,1092.152,165186.97,100.82241,,10/1/13,1195.94,184617.7,93.62,,,1147.0928,176095.19,61.18784
56,1091.6028,165402.44,113.84028,,10/2/13,1249.05,193060.02,83.75,,,1174.2468,180282.92,44.802086
57,1079.6497,164824.03,110.55089,,10/3/13,1245.28,193256.1,78.73,,,1140.688,175859.27,34.4356
58,1123.5907,170274.12,118.22941,,10/4/13,1242.87,192685.13,77.04,,,1120.2842,171200.95,38.72694
59,1136.3197,174058.6,117.77533,,10/5/13,1235.41,189860.71,76.59,,,1151.9747,176157.28,88.13761
60,1112.911,169216.23,104.37312,,10/6/13,1256.2,192813.97,75.96,,,1119.5419,172017.77,91.46151
61,1124.099,172459.28,96.40045,,10/7/13,1251.09,192967.65,78.52,,,1105.0858,168869.27,96.93159
62,1156.1238,177667.14,94.22326,,10/8/13,1251.81,192962.32,79.01,,,1131.4337,174256.69,92.66791
63,1128.6312,173031.52,71.56099,,10/9/13,1256.98,194280.41,77.91,,,1160.7604,178515.94,82.47601
64,1050.0946,162316.22,65.963974,,10/10/13,1271.99,195815.87,79.35,,,1106.3865,170352.23,66.863396
65,1126.8091,171992.33,94.42311,,10/11/13,655.2,101217.05,44.23,,,1066.5809,164526.08,56.501667
66,1108.5406,168698.1,117.458115,,10/12/13,362.61,58610.77,34.02,,,962.29504,148988.52,49.05345
67,1103.306,166975.56,118.57694,,10/13/13,1178.27,182360.25,79.04,,,877.44196,136127.34,59.58016
68,890.8359,137046.06,73.1872,,10/14/13,1183.06,183762.62,77.47,,,998.3475,153063.34,85.798416
69,884.19965,136282.27,66.21944,,10/15/13,1198.75,185335.5,77.96,,,1080.3777,165791.03,110.67453
70,852.1046,133146.64,66.02146,,10/16/13,1197.21,185174.74,77.97,,,1092.152,165186.97,100.82241
71,992.14496,151643.14,83.43323,,10/17/13,1198.18,185858.28,77.51,,,1091.6028,165402.44,113.84028
72,1069.8463,163488.36,102.072655,,10/18/13,1215.93,187926.15,79.49,,,1079.6497,164824.03,110.55089
73,1073.1697,163054.19,100.96523,,10/19/13,1221.59,188719.41,79.98,,,1123.5907,170274.12,118.22941
74,1013.0999,153224.47,87.16425,,10/20/13,1210.15,188806.03,77.88,,,1136.3197,174058.6,117.77533
75,1085.1136,166824.7,104.08333,,10/21/13,1218.52,190439.83,79.69,,,1112.911,169216.23,104.37312
76,1116.1503,169437.89,105.83821,,10/22/13,1219.97,188707.52,79.08,,,1124.099,172459.28,96.40045
77,1113.8918,170435.98,84.96987,,10/23/13,1221.28,188384.35,79.22,,,1156.1238,177667.14,94.22326
78,1141.2836,173354.17,84.25064,,10/24/13,1250.87,192712.38,80.64,,,1128.6312,173031.52,71.56099
79,1172.7634,179730.81,70.94641,,10/25/13,1249.12,192620.83,80.11,,,1050.0946,162316.22,65.963974
80,1151.2932,177584.19,59.721844,,10/26/13,1236.82,190197.99,79.9,,,1126.8091,171992.33,94.42311
81,1142.3933,176933.3,60.354916,,10/27/13,1219.94,188361.38,79.99,,,1108.5406,168698.1,117.458115
82,1125.2812,172360.58,59.854977,,10/28/13,250.93,39142.17,21.43,,,1103.306,166975.56,118.57694
83,1131.1465,172985.69,96.56777,,10/29/13,557.18,86381.77,39.01,,,890.8359,137046.06,73.1872
84,1149.1823,175865.58,115.29021,,10/30/13,414.96,62079.04,31.97,,,884.19965,136282.27,66.21944
85,1116.5781,169026.02,109.562485,,10/31/13,1197.34,183606.35,79.46,,,852.1046,133146.64,66.02146
86,1091.562,166431.89,103.54742,,11/1/13,1212.36,186014,78.31,,,992.14496,151643.14,83.43323
87,1095.4794,166918.83,113.15496,,11/2/13,1252.76,185206.48,86.56,,,1069.8463,163488.36,102.072655
