,0,1,2
0,2594.046,405689.47,251.42705
1,2648.6023,415212.78,274.78247
2,2696.8552,421479.75,242.45251
3,2723.8604,426053.9,234.94376
4,2739.727,428914.38,188.36325
5,2730.6118,428381.56,115.39898
6,2745.4358,432235.0,102.73061
7,2797.676,439421.16,113.98967
8,2850.6343,443231.16,64.22186
9,2923.3794,450546.88,47.777065
10,2962.7437,455356.56,73.43334
11,2915.8362,449784.84,139.91313
12,2956.203,457448.22,225.75262
13,2890.1765,447573.4,243.38162
14,2780.9944,430282.47,235.4351
15,2645.9697,405129.16,179.89703
16,2481.2473,378267.4,102.63508
17,2335.4973,358769.72,39.663578
18,2231.0723,344403.66,7.0276423
19,2171.2969,335299.8,-10.7372265
20,2129.7979,333429.34,-18.371565
21,2149.7358,340866.88,-22.47752
22,2268.9097,357007.53,0.021934848
23,2403.6692,374161.0,47.19234
24,2545.1877,388089.7,63.46068
25,2638.418,397499.62,9.133281
26,2675.29,402196.94,-61.37021
27,2665.2039,402191.75,-98.4144
28,2640.8115,404991.75,-94.962234
29,2673.63,415332.56,-54.1116
30,2756.8967,430269.9,-13.962306
31,2836.6213,443366.5,28.841326
32,2885.0886,450059.84,75.76863
33,2883.8127,448558.6,125.82842
34,2831.03,441045.38,157.97421
35,2780.3542,428545.28,148.8482
36,2789.9639,421736.84,93.05684
37,2856.871,428911.47,57.23967
38,2924.645,439628.56,64.46803
39,2974.8208,448212.53,68.3207
40,3087.101,463902.34,5.1333103
41,3137.8013,471241.12,-131.16864
42,3125.9524,471888.47,-166.80382
43,3056.9146,461039.44,-131.8462
44,2967.4985,451898.28,-99.47226
45,3042.4224,466002.03,-91.46239
46,3006.0767,461211.44,-67.64559
47,3033.3284,467558.94,-26.250742
48,3128.4666,486591.88,14.589076
49,3221.0632,502686.5,38.72676
50,3337.025,517954.12,58.91465
51,3467.534,533047.7,63.656567
52,3594.131,549669.2,61.063435
53,3756.9749,570982.25,73.22406
54,3903.238,588735.06,69.385544
55,3993.916,600970.94,55.643826
56,4079.0542,612345.06,-18.198711
57,4108.139,614957.25,-155.56549
58,4077.415,611295.6,-194.5954
59,4030.7297,606304.25,-184.81342
60,4043.2622,612667.4,-177.65198
61,4231.744,642632.9,-114.88573
62,4240.72,642667.56,-121.70817
63,4261.7876,645124.7,-110.81733
64,4231.425,638631.25,-103.65639
65,4321.491,654169.94,-53.311283
66,4307.4146,651131.25,-68.176605
67,4290.7534,647579.3,-104.91793
68,4202.09,632487.1,-311.6327
69,4182.215,628482.6,-348.5111
70,4242.8623,635889.44,-248.42969
71,4344.023,648227.56,-202.07124
72,4455.5566,660695.44,-237.29576
73,4482.34,664815.0,-278.78546
74,4479.8403,663180.94,-289.7757
75,4460.9253,664321.75,-220.37416
76,4552.655,682071.0,-130.20775
77,4514.927,676241.0,-150.35493
78,4476.191,669808.9,-166.92111
79,4445.753,664178.1,-141.92192
80,4391.754,655918.3,-140.5507
81,4320.4224,645951.7,-201.63898
82,4264.6885,640664.6,-263.53412
83,4250.6104,635110.5,-270.5583
84,4248.7104,635525.06,-192.75809
85,4271.109,636956.0,-103.79575
86,4265.354,631683.94,-81.21305
87,4208.265,621340.4,-99.005806
88,4104.4526,607789.7,-124.769714
89,3975.0613,591076.0,-151.26054
90,3880.6604,578333.94,-205.69861
91,3847.6619,573056.0,-197.27919
92,3868.7654,575928.75,-171.60448
93,3937.3142,586366.0,-134.99391
94,4051.2883,602038.25,-102.669655
95,4179.14,619045.56,-95.33443
96,4275.2417,629666.9,-60.259064
97,4327.825,633609.0,-31.587618
98,4325.774,632168.3,-60.778866
99,4336.14,632738.56,-88.6929
100,4378.9453,637916.06,-92.651344
101,4416.7095,644736.7,-60.54916
102,4369.549,642078.7,-18.50457
103,4365.9326,644447.25,-8.340185
104,4404.0737,644600.94,-162.59007
105,4361.933,635901.8,-268.68076
106,4320.133,629533.75,-262.05133
107,4236.3267,618790.0,-211.28722
108,4340.0405,641000.0,-159.74046
109,4269.669,635147.5,-186.13101
110,4310.9067,639434.3,-226.33693
111,4362.739,644608.9,-272.59204
112,4462.6885,654556.5,-289.76526
113,4516.414,660519.56,-289.7935
114,4514.2236,660111.75,-308.84073
115,4460.8276,652433.0,-309.72522
116,4342.231,635469.8,-292.4452
117,4194.7446,614570.94,-270.7
118,4031.2502,592866.1,-246.78377
119,3902.2537,572890.06,-218.58417
120,3764.4883,552982.94,-193.592
121,3601.1062,531817.25,-187.85495
122,3465.177,514922.53,-206.41837
123,3364.9348,501485.6,-216.58505
124,3317.1453,493284.38,-194.74878
125,3296.3228,491337.6,-142.25832
126,3310.253,488014.25,-109.55035
127,3277.9473,479125.0,-111.25121
128,3200.7034,465445.6,-132.08025
129,3073.9597,448147.56,-151.51407
130,2938.958,429878.47,-169.90453
131,2858.989,418638.88,-182.29544
132,2829.8567,417161.28,-148.43721
133,2858.8215,427066.44,-86.87335
134,2956.9775,443316.3,-62.716503
135,3088.032,463471.66,-74.38564
136,3295.5632,494908.47,-38.75455
137,3534.5674,529054.5,63.29723
138,3771.9646,561418.9,151.39001
139,3992.6965,591025.2,186.86075
140,4191.0596,616169.5,182.0449
141,4336.8115,635753.2,165.60318
142,4412.775,646775.4,176.9705
143,4400.588,645545.8,193.41756
144,4415.065,646362.7,207.1422
145,4355.2524,630397.56,109.917854
146,4205.58,606887.3,131.98236
147,4063.9097,585461.1,121.99182
148,3911.005,566898.7,104.87226
149,3690.9165,543316.56,77.033226
150,3446.1543,506906.06,41.434647
151,3167.5815,468697.2,25.225227
152,2921.7876,432725.7,28.80413
153,2694.7559,398993.97,26.04012
154,2465.79,365445.97,5.247285
155,2230.139,332926.9,-6.0820694
156,2023.7203,302893.1,-7.740856
157,1900.0134,282559.56,-0.9208625
158,1864.0314,279505.2,-7.8342776
159,1954.9053,295073.22,11.145521
160,2135.416,322390.72,42.55369
161,2373.5273,356073.88,60.394066
162,2655.8767,397357.3,98.403496
163,2891.7222,431762.97,79.084885
164,3114.7476,459556.62,42.77347
165,3314.2178,488597.34,41.35997
166,3520.2788,515627.44,88.18578
167,3708.5525,541874.6,149.97981
168,3812.7,556262.3,236.61609
169,3841.9612,561699.9,300.57355
170,3805.9739,553693.1,307.67984
171,3729.3098,533170.75,207.76706
172,3586.2498,510333.28,199.40526
173,3450.8342,486598.22,205.1412
174,3455.513,489132.8,161.60832
175,3365.3855,483761.66,94.796776
176,3251.529,469421.97,73.70473
177,3180.6943,465215.06,82.62521
178,3160.7039,461618.2,96.4905
179,3126.4822,454519.0,94.908646
180,3076.8213,441793.78,90.255714
181,2968.9568,424148.7,80.09561
182,2818.2969,404425.03,91.18375
183,2694.3113,394220.38,141.13492
184,2619.8865,393562.22,205.82835
185,2655.9255,407434.12,243.32936
186,2771.5889,429322.2,253.8713
187,2918.3804,450202.22,260.8824
188,3026.103,462202.5,291.78833
189,3102.848,469209.62,309.77576
190,3135.2773,467583.56,278.00626
191,3148.4104,466367.16,251.25781
192,3128.5332,461325.62,204.73676
193,3109.1309,459419.6,171.7483
194,3076.9412,454418.38,91.131256
195,3012.947,448071.7,57.017174
196,2980.0063,441795.78,35.449875
197,2903.7837,430078.44,61.29957
198,3133.0798,463595.28,24.229664
199,3093.26,457352.0,62.452847
200,3342.2695,490972.3,17.760223
201,3646.2676,532556.94,-0.7045868
202,3630.8342,528238.2,24.780148
203,3855.3132,563270.75,62.86677
204,3867.9568,562791.0,68.04408
205,3886.7847,562932.06,96.57541
206,3899.6575,564573.3,130.78874
207,3921.804,567472.6,170.37585
208,3944.794,570777.5,196.61293
209,3962.9187,573747.7,214.24432
210,3979.0127,575249.75,230.92693
211,3987.9624,575378.25,243.76639
212,3980.4412,572521.94,242.60245
213,3950.808,567412.25,240.59906
214,3923.0122,563026.94,251.41858
215,3900.5208,560894.6,279.1065
216,3865.458,558078.9,361.47937
217,3864.6316,557918.44,375.84613
218,3900.0889,564410.4,412.97195
219,3959.5764,573407.5,470.44107
220,4029.6296,583329.4,520.9592
221,4086.171,591805.1,550.6093
222,4146.502,599700.1,578.58923
223,4198.9873,607652.4,601.43964
224,4245.4736,614824.9,629.7573
225,4288.695,620719.0,647.36005
226,4326.131,624095.3,644.8058
227,4356.418,626904.56,629.6721
228,4369.7246,626631.7,590.62964
229,4380.131,626423.8,574.04706
230,4366.9795,623794.44,579.28723
231,4341.7197,620120.4,570.21796
232,4306.901,615649.8,567.4182
233,4271.088,610321.94,570.9055
234,4246.2866,606539.25,583.6077
235,4230.6577,604445.56,591.2157
236,4212.034,601753.5,560.4387
237,4217.034,602245.56,544.70056
238,4242.0503,604045.06,536.7305
239,4276.206,608332.25,536.8659
240,4312.978,614166.25,535.3483
241,4351.4478,620485.1,537.7003
242,4389.872,626564.0,617.4872
243,4379.823,624325.4,530.1629
244,4357.2837,621570.94,473.06476
245,4372.1895,622369.6,481.62308
246,4414.3374,627935.6,498.31946
247,4464.596,636251.56,508.74994
248,4525.934,645315.6,494.8346
249,4591.8677,653651.6,452.4515
250,4651.4824,662389.6,369.4879
251,4700.613,668342.56,315.38052
252,4756.0474,674114.2,281.06204
253,4788.324,675827.2,266.8769
254,4801.3237,675995.25,264.48654
255,4812.3735,675492.94,259.05243
256,4776.6304,670767.5,250.0678
257,4745.341,668679.7,218.08604
258,4754.201,668873.56,180.06856
259,4761.9272,670945.06,161.7941
260,4782.1177,673709.44,157.92946
261,4807.557,676210.44,151.52657
262,4835.0854,680499.44,140.50378
263,4860.661,686388.75,117.79698
264,4890.319,691853.06,95.919014
265,4927.513,695861.2,72.83751
266,4966.0396,701481.4,55.460762
267,5015.7407,708338.1,44.043255
268,5059.189,714371.6,35.013893
269,5104.2266,720240.9,20.95624
270,5138.5283,725709.3,-1.5532613
271,5171.5205,730432.0,-33.740673
272,5188.2207,733090.8,-58.40427
273,5193.1226,735541.8,-89.185585
274,5217.806,738527.3,-112.06432
275,5247.4565,741655.8,-115.95286
276,5224.0923,739929.9,-52.80232
277,5241.9478,743104.0,-65.74641
278,5248.375,743771.56,-89.85795
279,5260.128,745470.6,-120.39401
280,5276.1484,749116.44,-143.5344
281,5307.666,752033.9,-143.28362
282,5313.79,751082.4,-137.87114
283,5232.8296,740619.9,-108.84465
284,5221.413,739519.5,-82.065796
285,5248.5146,742868.56,-69.589584
286,5266.3564,746216.6,-58.25677
287,5276.3506,748502.9,-65.21959
288,5276.7173,748045.7,-89.3303
289,5238.3457,741910.1,-120.66942
290,5171.6587,732191.25,-141.12291
291,5095.132,720715.8,-152.1722
292,4997.689,706909.1,-154.24031
293,4881.389,691461.7,-158.66982
294,4765.3345,675249.3,-166.6295
295,4656.1733,659263.75,-173.39082
296,4539.818,643284.4,-173.4359
297,4440.53,629396.2,-170.76698
298,4354.0894,618178.94,-153.52336
299,4298.607,610467.5,-120.729
300,4269.674,606340.5,-89.272095
301,4260.6855,605696.8,-69.35262
302,4265.649,607927.75,-60.96622
303,4281.9478,611037.25,-59.501907
304,4324.1504,616190.5,-58.858704
305,4395.2466,625842.2,-48.507164
306,4468.208,636029.7,-40.78497
307,4529.142,645455.6,-38.645725
308,4576.3853,652663.9,-38.1309
309,4602.2646,656532.5,-46.042343
310,4602.418,656994.7,-50.84506
311,4598.0347,656541.94,-47.807102
312,4585.634,655330.56,-50.089767
313,4557.285,652515.9,-56.386227
314,4513.4834,647166.06,-77.47781
315,4485.263,642440.0,-92.00874
316,4454.789,637497.0,-103.648445
317,4417.1724,631348.56,-103.54149
318,4366.5156,623804.8,-103.29846
319,4301.585,615284.1,-101.550575
320,4213.442,602948.4,-107.08613
321,4116.3027,588972.25,-98.77634
322,3980.2446,569693.94,-73.762
323,3871.4075,554917.56,-56.4966
324,3800.9736,544519.9,-39.86855
325,3738.864,535629.25,-21.318043
326,3695.6099,529848.8,-6.8717
327,3666.8054,526952.0,4.9326544
328,3629.6636,522725.7,4.58896
329,3610.8538,519470.56,14.224009
330,3613.3662,519940.5,31.141855
331,3638.3037,522875.9,55.212852
332,3665.3047,526405.2,67.20569
333,3702.8367,531483.8,66.927826
334,3745.1384,537054.8,63.502438
