,0,1,2
0,2065.395,319403.3,282.0637
1,2074.7244,320428.6,231.39893
2,1993.5555,303238.78,101.76364
3,1869.9792,288130.56,152.3087
4,1437.2552,229812.88,96.47329
5,1646.9707,266440.53,317.67047
6,2258.2883,352301.16,234.70119
7,2190.3315,343288.78,117.75433
8,2392.9785,356196.7,-143.741
9,2880.7156,421908.0,13.246298
10,2873.0642,421368.44,30.36858
11,2963.0579,439278.97,16.154655
12,3052.9504,456242.4,-5.1872487
13,2840.962,431082.22,158.64017
14,2713.611,427641.62,221.64803
15,2583.2603,413610.22,161.09128
16,2438.812,396125.6,-16.488003
17,2343.8892,383166.5,210.71237
18,2166.972,348474.78,277.3158
19,1984.1151,317404.7,396.27014
20,1904.3041,307453.22,254.20511
21,2084.143,338878.4,117.121346
22,2701.0735,438700.84,107.02235
23,2483.4534,409210.66,77.38184
24,2286.3677,361318.6,16.390676
25,2168.0452,343148.34,-105.10394
26,2688.1558,409396.78,3.3846445
27,2944.828,465497.62,280.90607
28,2919.1646,454885.8,-12.944691
29,2472.8223,391533.7,-85.20767
30,2533.6963,412267.2,156.27765
31,2743.621,462726.06,48.772827
32,2783.1772,466895.72,50.683926
33,2346.5144,397444.47,129.34985
34,1771.1768,300917.34,38.163597
35,1092.6938,189132.84,114.09245
36,1556.9712,252621.52,329.588
37,2547.9087,404685.44,2.119395
38,2794.5715,428444.38,-29.710226
39,2651.8538,403911.22,-14.426311
40,3008.7778,476023.1,109.62715
41,3172.0515,498001.38,195.71179
42,3215.8425,502735.6,254.48546
43,3156.064,482035.16,149.02582
44,2871.5508,434486.5,136.78009
45,2751.1252,431255.75,347.35107
46,2714.189,428550.34,437.85156
47,3228.807,516194.75,124.97018
48,3643.6655,571879.44,193.64453
49,3343.8394,527499.6,260.13782
50,3143.0176,490036.7,180.50694
51,3171.717,479732.72,117.96434
52,3136.6543,489128.94,77.94065
53,3587.4985,559501.7,154.65302
54,3958.655,605498.75,214.4183
55,4018.5066,610413.06,332.80515
56,4243.6377,643558.25,250.25475
57,4330.356,653430.9,35.752254
58,4347.693,663206.94,33.510784
59,4208.1055,636867.0,-158.06223
60,4034.265,619379.6,-224.20099
61,4281.6777,650250.3,-129.7858
62,4346.042,657498.0,-64.54563
63,4330.3755,657506.2,173.32362
64,4108.306,617612.7,131.93239
65,4185.2246,629119.6,-97.02507
66,3699.1116,558793.6,-68.20275
67,3188.1404,489739.28,-7.7528386
68,3207.9211,503530.34,13.579307
69,4315.9814,656823.94,170.53319
70,4596.225,695651.4,216.07286
71,4349.015,659874.94,-53.60908
72,4584.894,678936.8,-54.90545
73,4323.664,638244.06,-7.8410654
74,4242.2046,630500.0,121.80383
75,4387.662,658018.5,-80.91972
76,4744.934,709355.06,-281.94965
77,4667.139,698328.0,-302.9876
78,4652.1855,702197.2,-174.9028
79,4649.245,708452.4,-319.36093
80,4638.3745,698877.06,-119.11966
81,4503.9297,684497.4,15.831407
82,4209.9863,636875.6,126.44575
83,4369.399,654000.8,15.064611
84,4267.491,637526.5,34.40727
85,4520.5664,673282.2,89.958046
86,4586.8228,684316.6,60.996105
87,4577.3447,678968.5,-112.77924
88,4580.9414,676443.75,-112.80784
89,4362.483,640201.9,-130.28783
90,4271.2935,631769.3,-135.12762
91,4460.6567,662111.75,-2.3572638
92,4028.2834,597557.44,-23.024534
93,3907.1868,569039.4,7.995177
94,4277.528,622021.94,-42.789043
95,4492.7695,664224.8,36.78385
96,4388.923,645111.56,10.259878
97,4381.1743,644450.25,43.0147
98,4264.863,631907.75,-9.010076
99,4281.486,635353.5,115.876686
100,4413.6367,652941.1,116.94395
101,4510.781,664493.56,54.560913
102,4061.1528,592841.25,25.195843
103,4139.031,614928.3,48.845932
104,4189.5303,618804.7,-25.67526
105,4148.448,606200.5,47.508064
106,3997.4724,587398.94,67.10945
107,3548.7595,522286.06,71.52023
108,3484.293,509521.44,-146.80772
109,3538.1123,519707.62,-57.624718
110,4191.938,615631.9,-15.837226
111,4165.1157,615593.06,-92.405754
112,4120.182,601774.4,-444.8883
113,4292.265,624462.75,-419.72968
114,4212.7827,614308.1,-432.92056
115,4250.725,625144.25,-368.79938
116,4188.006,612841.6,-372.41974
117,3922.4446,574905.3,-287.6349
118,3799.4556,563401.7,-284.4639
119,3821.92,563817.6,-191.79277
120,3850.7126,569384.2,-334.19708
121,3719.7246,546604.44,-301.24722
122,3505.2288,514594.78,-265.69986
123,3244.2703,473204.06,-183.23315
124,3304.8633,484823.22,-231.73932
125,3150.731,469171.7,-155.48894
126,3359.804,503904.03,-76.73862
127,3347.4714,502764.06,-166.11093
128,3396.7095,509610.28,-264.6984
129,3443.5022,511185.0,-266.39035
130,3315.1003,486668.88,-251.58804
131,3036.777,456795.8,-70.797066
132,2878.9734,432192.8,-3.5338109
133,2673.3652,399384.56,-92.83146
134,2547.4666,383057.53,8.552972
135,3190.327,477568.75,46.777107
136,4084.806,598658.25,33.658752
137,3973.7422,575163.1,-2.2792125
138,4054.2996,581949.3,-6.9658346
139,4287.4736,622338.94,77.18175
140,4476.6274,657626.6,172.35204
141,4904.4277,724904.44,203.08405
142,5003.2407,736733.8,65.14048
143,4564.6978,666858.56,-14.488433
144,4781.4395,715147.25,76.93515
145,4904.3457,725451.75,222.00763
146,4717.439,687349.6,104.597946
147,4343.245,627567.44,78.55476
148,3629.1936,529109.06,36.318134
149,3151.7412,457870.28,36.918556
150,2898.6423,423019.9,16.8264
151,2570.6042,380095.12,-50.063675
152,2511.7976,376303.6,46.704273
153,2405.2996,360961.16,89.02836
154,2127.9639,322338.38,167.9272
155,1765.9506,264510.2,112.98936
156,1331.0209,199419.22,94.99666
157,1117.6991,180038.66,177.10918
158,856.26904,141337.47,29.616169
159,1178.5144,179944.47,108.61199
160,990.0557,147069.08,-19.229523
161,1184.1263,166045.64,-145.19608
162,1733.1357,255187.0,47.437084
163,1542.1387,234281.23,-255.27483
164,2666.4053,389049.6,-259.92426
165,2997.1235,448071.6,-155.54462
166,3279.254,492179.06,-3.7202973
167,3936.9895,583862.9,-130.45976
168,3947.6887,585242.0,-48.67178
169,3604.372,535066.7,-261.11768
170,3533.7834,527499.75,-195.4481
171,3176.6277,472795.03,-66.826454
172,2943.2454,430417.94,31.237356
173,2819.6013,411668.7,119.98779
174,2734.0479,400260.78,167.13329
175,3109.753,454558.4,156.20436
176,3424.989,499505.75,42.636368
