,0,1,2
0,2388.2957,371758.16,166.87535
1,2459.8704,383087.53,178.46161
2,2516.791,390330.9,167.69972
3,2534.6729,393819.3,162.96616
4,2593.948,401999.28,147.06268
5,2661.9287,410543.03,96.3652
6,2747.4187,420916.6,37.445755
7,2855.024,433508.16,-19.084106
8,2959.8096,446621.4,-56.34416
9,3061.3372,458306.3,-64.51612
10,3123.7212,465700.34,-56.29328
11,3117.8855,463269.2,-30.835718
12,3121.204,468100.9,31.022923
13,3044.7407,458390.97,84.88848
14,2899.6165,440970.47,112.899254
15,2725.8208,417522.0,106.243164
16,2541.0557,390123.03,62.035362
17,2394.0508,365289.22,17.629797
18,2277.4495,344537.97,-16.613197
19,2205.3203,328892.88,-23.020658
20,2181.407,322309.8,0.9498137
21,2211.0789,326019.06,21.697803
22,2315.1633,338726.72,27.850695
23,2466.0334,357960.88,15.723584
24,2606.3635,380157.28,2.9105473
25,2744.466,399689.97,-16.259315
26,2876.1257,419893.72,-59.671837
27,2956.1707,432085.3,-94.62552
28,3001.1443,440196.5,-100.752464
29,3024.931,444552.88,-100.77487
30,3035.6248,448197.22,-83.15109
31,3015.621,449118.12,-44.33735
32,2978.7964,447791.53,-11.173825
33,2950.8918,444129.97,7.56237
34,2886.502,436708.25,-14.029908
35,2863.2837,430518.84,-13.494367
36,2885.6812,429347.06,-29.778767
37,2921.3557,432343.1,-66.2431
38,2972.9712,439995.66,-84.56301
39,3037.6194,451412.25,-85.400665
40,3111.4248,465087.28,-74.94128
41,3122.7996,469933.28,-63.887405
42,3114.4165,464978.16,-63.572166
43,3063.6714,451673.28,-89.5838
44,3140.9453,460928.03,-9.19702
45,3201.304,474392.03,16.073336
46,3106.432,459504.84,-16.572378
47,3068.311,459389.62,-38.716167
48,3135.3838,472709.34,-35.96976
49,3174.475,478707.56,-20.358307
50,3238.4634,487279.34,-3.3546827
51,3322.5054,499531.03,16.472805
52,3418.8113,512251.3,23.75199
53,3539.4783,529104.7,25.422354
54,3629.6257,545236.4,36.341476
55,3708.559,558104.2,19.618109
56,3762.8606,565970.44,-12.856701
57,3800.9697,571843.44,-45.290287
58,3822.118,571278.1,-60.633606
59,3838.9456,566962.6,-71.24448
60,3853.9834,564231.9,-68.35134
61,3969.5618,584857.7,-82.070526
62,3980.8667,587603.75,-95.01335
63,3996.6238,589414.44,-113.63343
64,3990.4001,584907.75,-127.44552
65,4091.9622,602707.3,-113.712265
66,4120.292,608288.1,-121.46607
67,4135.055,611701.1,-149.43541
68,4088.0796,605132.56,-257.48627
69,4060.797,601397.5,-335.95135
70,4124.377,606522.2,-363.75095
71,4256.0093,621074.94,-329.07803
72,4386.229,637366.1,-257.43182
73,4468.1055,647667.2,-222.18813
74,4496.164,650507.4,-198.65459
75,4452.2373,649940.9,-177.85106
76,4527.1265,670514.7,-159.43558
77,4477.1504,661184.7,-158.66058
78,4409.6206,648951.56,-157.282
79,4309.688,635721.94,-164.20085
80,4205.33,622559.6,-163.15785
81,4104.3022,607744.7,-177.60922
82,4028.2,593647.25,-216.57904
83,3992.8928,582979.7,-218.461
84,4004.8662,579752.56,-194.31973
85,4044.7114,583514.56,-151.88797
86,4075.6194,585499.94,-123.32839
87,4069.6526,585859.06,-125.999084
88,4016.0408,581655.56,-149.18896
89,3960.0508,574754.56,-180.28635
90,3950.9229,572647.3,-221.7821
91,3983.7598,575758.7,-229.6936
92,4044.3684,584389.56,-225.77231
93,4139.804,598530.5,-223.53651
94,4260.7905,616385.25,-207.40193
95,4377.4688,633592.8,-210.45604
96,4479.7583,647546.6,-204.33699
97,4514.3745,653364.94,-208.92822
98,4505.708,653976.44,-230.2069
99,4517.831,655712.1,-242.51367
100,4548.636,659569.56,-255.71759
101,4554.657,661302.94,-244.93646
102,4524.2866,657077.6,-214.63377
103,4497.277,652970.25,-201.04803
104,4478.19,652443.44,-207.18297
105,4438.5757,650075.2,-222.15408
106,4385.265,641163.1,-240.75764
107,4291.3066,621411.94,-230.82285
108,4401.2417,635415.94,-206.58176
109,4354.42,631898.44,-260.66122
110,4357.661,631895.2,-332.986
111,4399.488,636183.94,-381.8442
112,4501.417,648776.8,-377.84555
113,4559.453,655220.3,-348.23245
114,4582.358,657345.2,-324.35483
115,4547.718,651212.2,-301.89767
116,4441.093,639663.94,-270.14688
117,4305.1904,623401.4,-239.04907
118,4153.475,601254.94,-193.6374
119,3979.0051,578869.3,-173.66722
120,3794.048,555578.3,-167.94263
121,3626.7979,532457.5,-147.88185
122,3486.8657,510524.5,-149.10371
123,3390.323,492650.2,-149.69705
124,3338.2888,480727.56,-129.84685
125,3324.984,477889.1,-96.6097
126,3353.8296,481040.8,-44.323383
127,3358.6184,483254.1,-17.730286
128,3325.616,479417.53,-30.547012
129,3239.1372,468214.88,-54.934906
130,3158.6897,456676.16,-47.88979
131,3100.7136,449250.16,-52.819843
132,3080.0095,447290.3,-26.450567
133,3110.1714,455528.72,-38.698277
134,3192.2336,468565.2,-49.617477
135,3273.6313,482538.72,-118.14843
136,3425.2646,504723.1,-128.73671
137,3649.5334,531357.75,-84.215485
138,3861.7034,559666.4,-13.140128
139,4059.1055,586971.75,57.998405
140,4219.0566,611736.8,96.000885
141,4317.759,628388.6,118.68167
142,4331.6245,635645.1,145.54285
143,4319.815,635164.56,186.55258
144,4315.254,632433.7,215.47565
145,4278.18,629918.7,218.01727
146,4188.9146,617601.25,193.4491
147,4080.1787,598433.9,174.159
