,ON_STREAM_HRS,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,DP_CHOKE_SIZE,AVG_WHP_P,AVG_WHT_P,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
1957,24.0,174.19106978723406,32.0,65.74240063829787,97.27687106382979,69.26225104166667,3137.26,509074.88,13.39
1958,10.975,173.3729498223417,30.682608695652174,66.01919978432802,97.36943237402278,73.10559218599545,1430.95,137396.4,11.55
1959,14.025,173.43549109522365,31.0,67.12907305714603,98.1215243705952,70.45153593680591,1950.58,378532.95,11.93
1960,24.0,172.92823479166665,29.812026875,66.38622729166667,97.43138416666666,73.53712708333333,3060.6,457837.18,12.82
1961,24.0,172.98649104166665,31.818380416666667,65.59519354166666,96.65849041666667,75.81015104166667,3053.67,461808.99,12.81
1962,24.0,172.74514458333334,32.000954166666666,65.052414375,96.11653229166667,75.9211225,3103.12,372985.57,12.86
1963,24.0,172.48991145833332,32.081197708333335,64.618748125,95.69058604166666,75.217224375,3110.68,463717.13,12.86
1964,24.0,172.31615729166666,32.20087375,63.91880625,95.14026958333334,75.46119354166666,3303.3,463529.9,13.04
1965,24.0,172.066815625,32.21080020833333,63.12111875,94.78838479166667,75.40590875,3028.41,440906.09,153.36
1966,24.0,171.73653541666667,32.033210625,63.17009354166667,94.73985791666667,75.26976895833333,2998.8,452369.44,151.86
1967,24.0,171.35568375,32.04783125,62.824872291666665,94.54419041666667,74.62930458333334,3054.12,451030.48,14.34
1968,24.0,171.17766333333333,32.00002729166667,62.790674375,94.21746708333333,74.83526625,3025.8,463595.31,14.91
1969,24.0,171.1089055319149,31.251858333333335,62.24724106382979,93.81179744680851,75.41270404255319,3003.22,468712.0,14.09
1970,24.0,170.71207354166665,31.944148125,62.06976708333333,93.62225645833334,74.19776541666667,3015.97,458936.65,20.439999999999998
1971,12.975,170.8590629730944,30.885044814814815,61.656020290558764,93.1491572691946,73.89495642494028,1615.37,242280.01,12.91
1972,4.0,174.47806875,25.82295625,63.31145,93.6176275,48.68236,429.77,65731.44,11.73
1973,21.26,181.72734770833333,28.763500416666666,56.13802375,83.88394770833334,64.02058791666667,2578.63,413142.56,13.620000000000001
1974,20.55,170.63894880718277,32.060503947368424,61.2840258920808,93.03739752580373,74.1666946999388,2494.26,400308.2,13.5
1975,24.0,170.01040002284398,31.904078484848483,61.32164096458679,92.99972604998787,74.46350660898706,2847.56,462314.88,13.99
1976,9.375,170.16608226666668,31.653475789473685,61.079362,92.81152573333334,74.87069133333334,1120.57,184080.6,11.1
1977,21.57,170.28931614193667,31.718743170731706,61.13688732085631,92.88439537693013,72.28045642020047,2448.14,372536.86,12.4
1978,22.71203,170.12042243608784,30.033491276595743,61.732701759921945,93.0214783483863,73.2267499352986,2513.65,383126.44,12.47
1979,24.0,169.53188645833333,31.483217083333333,61.000593333333335,92.63852645833333,75.04618583333334,2752.75,418498.59,12.7
1980,24.0,169.28461875,31.519783541666666,60.68912354166667,92.32563625,74.86361916666667,2752.3,426345.05,12.7
1981,24.0,168.94576666666666,31.483014375,60.5470925,92.16888729166666,74.24991270833333,2737.24,422378.97,12.31
1982,24.0,168.69795541666667,31.487272708333332,60.253108125,91.85997979166666,73.58424958333333,2735.53,422115.01,24.189999999999998
1983,24.0,168.54905191489362,30.814254166666668,59.93757872340426,91.57752978723404,73.69553574468085,2730.33,474459.4,103.87
1984,24.0,168.74463145833334,31.498908541666665,60.088869375,91.77847916666667,74.27099604166666,2727.65,480456.7,14.219999999999999
1985,24.0,168.90140395833333,31.412461458333333,60.552660625,92.23985458333334,73.41670208333333,2747.01,481822.53,13.81
1986,15.95833,169.70584856317672,31.489733333333334,58.91078561042415,90.71154963927303,75.75836009188932,1985.59,350826.25,12.76
1987,5.2463,174.68508342508053,25.84310333333333,60.10644580866516,89.00480916665079,51.514422381487904,546.58,90823.83,14.76
1988,24.0,170.41920520833332,32.543967916666666,58.916819583333336,90.86234625,68.96561166666666,3011.83,459764.68,24.0
1989,24.0,170.11878520833332,33.43435083333333,58.501581875,90.66983479166667,74.21000583333333,3167.59,471209.85,13.44
1990,24.0,170.4076225,33.39043354166667,58.588802916666666,90.771511875,75.90691833333334,3163.92,486368.03,14.43
1991,24.0,170.54918625,33.373732708333335,58.88368583333333,91.06007666666666,76.329415625,3173.19,474305.4,14.440000000000001
1992,24.0,170.71714791666668,33.37489,59.19771645833333,91.37104229166667,75.43821645833333,3188.85,493120.0,14.440000000000001
1993,24.0,170.93675520833332,33.309282083333336,59.75377395833333,91.71592916666667,76.31551520833334,3186.96,491322.97,14.42
1994,24.0,171.23656729166666,33.221430833333336,60.09477,91.80668229166666,77.02496270833333,3176.89,489872.38,14.42
1995,24.0,171.38529166666666,33.11139,60.38335375,92.1028,77.24626416666666,3171.32,489343.07,14.29
1996,24.0,171.52171395833332,33.05831875,60.48931125,92.39703520833334,77.33921354166667,3170.85,488607.46,14.76
1997,24.0,171.57182145833335,33.023854375,60.510602291666665,92.77923791666667,77.022344375,3188.02,489393.88,10.01
1998,24.0,172.648793125,34.09643979166667,59.199934375,91.578681875,77.48198958333333,3415.68,524276.14,16.39
1999,24.0,174.47571541666667,35.62917458333333,57.059738125,89.61217458333333,78.75296645833333,3701.51,567340.44,17.22
2000,24.0,176.44395872340425,36.160337291666664,54.964339574468084,87.64393127659575,79.10253106382979,4002.28,612762.21,17.62
2001,24.0,178.2197363829787,37.29412895833333,53.00881127659574,85.86815361702128,79.54369510638298,4253.12,648380.88,18.22
2002,24.0,178.34193,38.21141645833333,52.88725291666667,85.74596,79.71459541666667,4279.91,651572.53,18.29
2003,24.0,179.66063458333332,39.27145375,51.214709791666664,84.42725541666667,80.1680925,4439.62,671084.55,18.59
2004,24.0,180.6398,40.14757854166667,49.359952291666666,83.44809,80.26571020833333,4582.9,696343.43,18.86
2005,24.0,181.25933666666666,40.727504583333335,48.652501666666666,82.82855333333333,80.15897333333334,4677.42,709992.17,19.04
2006,24.0,181.24754833333333,40.74857395833333,49.250165208333335,82.84034166666666,80.04535958333334,4688.63,711699.89,19.07
2007,24.0,181.15959666666666,40.7553975,49.68262125,82.92829333333333,80.198545625,4687.74,714081.05,19.060000000000002
2008,24.0,216.3820125,42.15900666666667,47.850673125,81.26395729166667,80.58099375,4885.56,741919.56,19.45
2009,24.0,177.02884,43.100561666666664,46.69522479166667,80.17116,80.780388125,5013.12,759588.91,19.689999999999998
2010,24.0,177.925675625,43.122455,46.74368166666667,80.22038395833333,80.85044270833333,5017.55,760577.09,17.7
2011,24.0,178.13036875,43.092326666666665,46.719385208333335,80.20215395833333,81.04793125,5019.23,760297.25,29.71
2012,24.0,178.16663895833332,43.19540875,46.68892458333333,80.17285791666667,81.03711375,5034.28,762332.85,8019.72
2013,24.0,178.29270916666667,43.33968291666667,46.52493770833333,80.017106875,81.194595,5045.72,764673.62,8019.74
2014,24.0,178.35508875,43.38664166666667,46.46299666666667,79.961259375,80.94686479166667,5053.01,766791.37,29.77
2015,24.0,178.00507854166668,43.46183,46.46578958333333,79.97036833333334,80.86455791666667,5065.87,767889.19,39.8
2016,24.0,178.26345166666667,43.486073958333336,46.664266041666664,80.160159375,79.50219541666667,5072.27,767413.36,20.009999999999998
2017,24.0,178.25680416666665,43.561188125,46.70218625,80.200285625,78.98763729166667,5086.33,770161.99,20.04
2018,20.19167,177.32261740065582,40.12257780487805,50.01007840844764,83.32323235847258,79.7366412507237,3869.22,589150.0,17.48
2020,0.5,188.02947,16.82769,72.69743,91.38963,22.05489,22.94,11729.2,10.04
2021,13.41667,178.49707907674556,42.49382,47.88264729368017,81.29772202915477,77.77211379588974,4019.51,603534.04,17.77
2022,24.0,259.0873539624423,43.221761621621624,33.464763899165504,80.0,79.21291852852295,4999.75,755898.39,19.67
2023,24.0,257.43431416666664,43.421707291666664,32.42974875,81.02973854166666,77.89859729166666,5067.01,764495.52,19.8
2024,24.0,191.39515458333332,43.41881291666667,33.538475625,67.02729729166667,79.60313416666666,5040.47,768018.95,19.75
2025,24.0,178.21372854166665,43.39667333333333,46.81843666666666,80.30339375,79.77938208333333,5058.13,763388.73,19.78
2026,24.0,178.42629979166668,43.33410666666666,46.699004375,80.20800708333333,81.26489229166667,5057.56,761308.55,184.78
2027,24.0,178.49661354166668,43.390093541666666,46.63799520833334,80.15293791666667,80.787300625,5070.12,761089.16,19.8
2028,24.0,178.44858104166667,43.400133125,46.74213145833333,80.25815708333333,80.18014083333334,5081.36,762129.8,24.83
2029,24.0,178.56673416666666,43.405722708333336,46.666044166666666,80.19154604166667,80.64536104166666,5081.78,761130.49,19.83
2030,24.0,178.370149375,43.44772,46.423072291666664,79.94788666666666,80.43309604166667,5087.06,760260.45,19.84
2031,24.0,177.810411875,43.460676666666664,45.89157395833333,79.39988541666666,80.32660916666667,5060.12,757005.32,19.78
2032,24.0,177.52836145833334,43.452605625,45.52576625,79.03506083333333,80.42901895833333,5032.29,754387.87,19.73
2033,22.66667,177.31376738572098,38.53649541666667,49.275977976601766,81.68925799855911,77.35260529102864,4332.16,651120.47,18.28
2034,24.0,177.8872475,43.718371875,45.261347083333334,78.75012708333334,80.81746854166667,5087.53,763089.71,19.84
2035,24.0,178.030971875,43.74744125,45.330591041666665,78.83392916666666,80.86103791666666,5102.25,764342.55,20.0
2036,24.0,177.956730625,43.833438125,45.623897916666664,79.16552458333334,79.86637875,5102.84,756365.89,19.880000000000003
2037,24.0,178.07927770833334,43.81087125,45.86301458333333,79.36020854166667,79.732293125,5135.06,765784.34,17.17
2038,24.0,178.27294255319148,42.87523375,45.95841808510638,79.4754759574468,79.67981361702128,5140.62,766175.86,18.75
2039,23.50001,177.66657734895432,40.892229375,49.0291383832943,81.98353480962348,78.96815055212743,4721.66,702550.38,19.53
2040,24.0,178.30373375,42.830796875,47.016867291666664,80.458586875,80.73782354166667,5037.62,750094.0,25.16
2041,24.0,178.6141885106383,42.817965208333334,46.30108446808511,79.81491085106383,79.34087617021277,5147.1,769091.42,21.35
2042,24.0,178.79473583333333,43.440965,46.55323270833333,80.05422770833333,80.47819770833334,5114.6,765622.03,20.25
2043,24.0,179.01843191489363,42.54712875,46.609897234042556,80.1057440425532,80.87376978723404,5123.74,766123.1,21.810000000000002
2044,24.0,178.92452958333334,43.48804166666667,46.896685625,80.38986770833333,80.02422416666667,5135.48,767514.63,21.77
2045,15.83334,178.7657551317473,42.24035151515152,47.743177652131514,81.19468353260272,79.57149243735687,4232.54,639125.35,19.759999999999998
2046,24.0,179.23992604166668,43.45683875,46.832231666666665,80.422041875,80.980258125,5126.41,762147.27,21.8
2047,24.0,179.11628583333334,43.492512291666664,46.82975125,80.49480729166666,81.1059475,5075.74,711222.19,21.7
2048,24.0,179.47737770833334,43.491945208333334,47.17382729166667,80.209785,80.38667020833333,5121.12,768245.7,21.82
2049,24.0,159.675661875,39.409265,52.963444583333334,85.7243925,79.62200416666667,4372.28,659342.57,20.1
2050,22.66666,177.106999406966,36.962308510638294,54.52244582485466,87.22609674880198,77.10889748092573,3980.51,599295.69,19.18
2051,24.0,179.20789,43.203569791666666,48.12008791666667,81.131885625,79.22351395833333,5114.67,766478.4,10.79
2052,24.0,179.09690833333335,42.988947708333335,48.39826229166667,81.39691354166666,80.07506104166667,5083.67,762466.05,25.17
2053,24.0,179.35101145833335,42.97348916666667,48.29525833333334,81.31481333333333,81.24662791666667,5080.84,761637.18,14.51
2054,24.0,179.51473770833334,42.973005416666666,48.24832125,81.277629375,81.42802979166666,5086.26,761985.49,21.73
2055,24.0,179.53157166666668,42.98479145833333,48.318520625,81.35345958333333,81.38200583333334,5087.7,762728.95,25.73
2056,24.0,179.43759,43.00275270833333,48.46782625,81.50145229166667,81.04913791666667,5094.92,764020.22,22.75
2057,24.0,179.48091583333334,42.97860583333333,48.647689791666664,81.670954375,80.10489041666666,5095.75,764104.54,46.05
2058,24.0,179.80298125,42.948346875,48.531328333333335,81.57146979166667,81.68383625,5094.03,762917.06,21.740000000000002
2059,21.35,179.80573227465052,42.96092823529412,48.64683880832072,81.68432999386384,81.54110191797277,4621.52,691133.54,20.65
2060,13.16666,178.81655266176844,40.25518037037037,51.08143109225878,84.28174754097091,78.20595173333253,2855.54,426766.13,16.58
2061,6.30833,174.67604915381725,32.11065133333334,68.70748651192946,100.15457341787763,61.96950648087529,686.84,151768.25,11.58
2062,24.0,177.03937958333333,47.858125,54.69288145833333,87.266025625,79.08508020833334,4169.38,606053.9,19.61
2063,23.25,175.74173008732473,44.359876875,56.38402939169032,88.71456093476559,77.02967090941075,3818.8,573434.83,18.8
2064,24.0,176.2549044680851,48.693650416666664,51.320088936170215,83.96476255319149,79.14988106382978,4304.71,635429.85,19.92
2065,24.0,173.53244770833334,44.468109375,57.62635791666667,89.771568125,78.34596895833333,3526.92,521163.81,20.630000000000003
2066,24.0,172.95664083333332,42.87976833333333,59.56876354166667,91.623418125,78.42065125,3341.55,482331.58,17.7
2067,24.0,172.61385041666668,42.04409979166667,60.733983125,92.67383229166667,77.95599145833333,3215.85,474686.18,22.77
2068,24.0,172.47877604166666,41.69154833333333,61.22372125,93.17206375,77.32541270833333,3176.28,481830.98,17.32
2069,24.0,172.55761583333333,41.65427979166667,61.259169791666665,93.17507916666666,77.23531,3186.03,466621.33,17.34
2070,24.0,172.529799375,41.65889583333333,61.32541208333333,93.22718041666667,77.00684166666667,3182.55,466633.46,17.34
2071,24.0,172.60312666666667,41.655394791666666,61.335002083333336,93.244709375,77.5749825,3166.64,465211.96,17.509999999999998
2072,24.0,172.52338145833335,41.661807708333335,61.42568729166667,93.32294645833333,77.65066041666667,3148.96,463102.57,17.33
2073,24.0,172.55113083333333,41.66941645833333,61.018506458333334,93.299449375,77.5550725,3148.89,471104.48,17.3
2074,24.0,172.44531041666667,41.697308125,60.962001875,93.46615229166666,76.64101479166666,3163.29,460618.77,17.35
2075,24.0,172.44786333333334,41.670198125,61.04562979166667,93.57462604166666,76.67552020833334,3145.11,461623.27,17.29
2076,24.0,172.47442708333332,41.64632520833333,61.05179125,93.60010041666666,76.92570291666667,3177.3,465308.05,17.31
2077,24.0,172.60042479166665,41.6366525,60.996496666666665,93.55379354166666,77.85686604166666,3143.1,460975.55,17.21
2078,24.0,173.06634833333334,42.95633458333333,59.62250875,92.06623645833334,76.7116075,3346.15,490196.57,21.060000000000002
2079,24.0,172.04576229166668,33.33069291666666,67.01009604166667,98.52557083333333,71.50920666666667,2434.33,355646.65,15.61
2080,24.0,173.49944166666666,31.978850833333333,66.20045645833333,97.74839145833333,64.39746916666667,2316.52,339166.49,14.16
2081,24.0,172.233431875,40.142730625,63.475316875,95.34029333333334,75.22436895833333,2976.42,436752.07,14.77
2082,24.0,176.96816604166668,38.323676666666664,60.19519875,90.503135625,72.34811479166666,3031.55,445348.64,14.25
2083,24.0,172.33374541666666,40.23153958333333,63.244469375,95.147866875,76.62472520833333,2993.48,438550.35,14.5
2084,24.0,172.35728541666666,40.14094083333333,63.083680208333334,94.96825583333333,77.266011875,3093.31,452054.82,14.64
2085,24.0,172.43297625,40.22203583333334,63.066376041666665,94.96899645833334,77.167965,2998.53,437720.84,14.5
2086,7.525,172.61126152999336,36.887088125,63.381546310139534,95.31633673475083,76.14163799380731,919.75,135274.51,11.379999999999999
2087,6.975,172.6038499567455,28.200863333333334,69.07124162355555,101.59866316020072,62.0043953530466,808.23,110780.18,11.21
2088,24.0,175.87199791666666,47.510180625,52.42933979166666,85.51176416666667,77.36793,4060.24,559249.17,16.03
2089,24.0,175.55485791666666,49.18402020833334,50.39719458333333,83.47654333333334,79.31034125,4349.22,603102.92,16.58
2090,24.0,175.49292208333333,49.6905225,49.48759166666667,82.6226425,78.564529375,4412.46,611780.88,16.61
2091,24.0,175.47980085106383,49.430665833333336,48.28132191489362,81.4688740425532,80.06074765957447,4418.03,616241.04,16.64
2092,24.0,175.22848791666667,50.24217625,48.084882291666666,81.24952416666666,80.07906083333333,4448.97,620813.2,18.5
2093,24.0,174.9695,49.356120625,48.856403125,81.95372270833333,80.04373729166667,4353.59,651318.9,37.370000000000005
2094,24.0,175.027673125,51.230933125,46.520947291666666,79.84280708333333,80.525815625,4499.01,673535.88,57.97
2095,24.0,177.04528541666667,57.2316125,39.5697625,73.12758729166667,80.936965625,5479.4,799524.84,57.85
2096,24.0,176.35870541666668,57.284084166666666,39.1139225,72.64584791666667,80.30485854166666,5443.61,795277.26,63.93
2097,24.0,175.50200458333333,56.925529375,38.95502625,72.44522020833334,79.88848895833334,5374.18,810900.02,28.12
2098,24.0,175.0158825,56.70426520833333,38.6708475,72.13441833333333,80.28439979166667,5315.03,801345.75,19.84
2099,24.0,174.78770395833334,56.72040625,38.02077104166667,71.47352125,81.27903375,4980.89,728548.75,19.48
2100,24.0,173.02240479166667,52.22903479166666,42.44458875,75.73754125,80.184409375,4450.0,647512.91,18.47
2101,24.0,168.541333125,34.976196875,61.58309729166667,94.16646333333334,73.215769375,2049.86,290174.27,13.9
2102,24.0,168.99666604166666,34.90241875,62.69313354166667,95.05632479166667,72.89816604166667,2059.29,291279.7,13.82
2103,24.0,169.18305125,34.9778975,63.37864125,95.88493895833334,70.99073333333334,2080.27,294693.68,13.96
2104,24.0,169.56141729166666,34.970591666666664,63.99623833333333,96.51292291666667,70.81927958333333,2089.77,293955.38,13.98
2105,24.0,170.10437416666667,34.93069,64.21436666666666,96.96646875,72.573515625,2093.46,293973.81,13.97
2106,24.0,170.23362770833333,34.773680625,64.86161395833334,97.25291541666667,72.262348125,2084.4,295564.57,50.33
2107,23.83334,170.30826459475676,34.61916708333333,64.9484734773389,96.79042408760165,72.64781232248606,2086.63,305319.46,14.1
2108,24.0,170.193260625,35.87946791666667,64.21511604166666,96.19147479166666,73.87144895833333,2189.55,318561.33,14.46
2109,24.0,169.96080458333333,34.847756875,65.07226604166667,97.03449708333333,72.279520625,2058.63,297315.78,11.82
2110,10.5,170.56353867381537,30.028156428571428,65.82476835970769,97.60276388135385,69.85923615366154,624.7,86537.33,11.2
2111,24.0,170.31169145833334,34.258064583333336,65.58935583333333,97.54393645833333,69.87423083333333,2029.12,284059.33,12.17
2112,9.70833,170.30297971751062,32.688219,65.90847895229149,97.83778125403649,71.39040005377856,837.23,116783.59,10.49
2116,8.5,174.79378588235295,32.43891411764706,63.46826,95.42244823529411,51.11582117647059,760.58,105098.33,10.39
2117,24.0,171.25886125,35.50776729166667,65.365499375,97.43807708333334,69.26076291666666,2173.11,304483.02,10.83
2118,5.70833,171.04450472018962,30.483693333333335,66.53053229725681,98.56253768200156,70.64232761226138,500.19,69031.17,10.35
2120,23.6,176.26154305084745,22.269454375,67.13042855932203,97.28397271186441,40.06064097457627,1181.97,173052.95,11.53
2121,24.0,172.70495638297874,44.185245,55.03722744680851,87.29570893617021,73.90141063829788,4067.32,592088.64,16.9
2122,24.0,171.6275425531915,42.837968333333336,55.429497021276596,87.57455446808511,73.40782978723404,3735.86,550255.99,16.35
2123,24.0,171.45937895833333,45.711235625,52.93205416666667,85.24866875,75.053174375,4057.56,593839.89,15.3
2124,24.0,170.869950625,45.833702708333334,51.923180625,84.21732979166667,76.83566208333333,4036.38,589477.56,16.06
2125,24.0,170.47817958333334,46.240475625,50.5115875,82.85441583333333,77.653523125,4046.64,590019.17,16.08
2126,24.0,169.73455645833334,46.28296145833333,49.493847083333335,81.79710520833333,77.83302666666667,4004.96,582278.93,15.99
2127,24.0,168.78550770833334,46.22387,48.38365395833333,80.646851875,77.781708125,3937.38,570001.84,15.52
2128,24.0,168.11481645833334,36.733612916666665,53.03078,85.064448125,67.70409541666666,2503.26,362080.29,20.95
2129,24.0,167.47542854166667,37.126046458333334,52.099126041666665,84.24060208333333,70.29977145833334,2551.19,369110.04,13.379999999999999
2130,24.0,166.58339479166668,44.88507791666667,47.0405125,79.23236229166666,76.72622791666667,3605.75,515386.04,13.84
2131,22.16666,166.33843475335934,41.211127608695655,46.45160838344613,79.54864732278565,72.9739953054813,2858.81,407044.88,14.01
2132,18.29167,166.2329811111998,45.30537567567568,44.099518281983,76.25698741622826,77.70147754100637,2846.55,405957.52,21.72
2133,24.0,165.77104920182026,46.178616097560976,43.172123432896356,75.4413820280046,77.73423037311369,3652.8,520319.29,24.310000000000002
2134,24.0,165.24874520833333,46.3766875,42.380999375,74.65443583333334,77.63932375,3629.3,514831.95,15.09
2135,24.0,164.53675395833332,44.146439375,44.116141666666664,76.29883729166667,76.40385729166667,3389.78,509447.83,24.28
2136,24.0,164.527390625,46.80728229166667,40.82622541666667,73.085541875,76.390550625,3575.59,507353.58,29.4
2137,24.0,164.52426520833333,43.367854375,42.7930275,75.005763125,72.714784375,3174.51,456679.24,39.46
2138,24.0,164.21349458333333,45.03409979166667,41.870547083333335,74.00110541666666,76.37615583333333,3371.21,481430.17,22.32
2139,24.0,164.05065604166666,46.55129041666667,40.21557583333333,72.47162875,76.907975,3512.44,497305.01,16.57
2140,24.0,164.05227979166668,46.620320416666665,39.901230625,72.05886520833333,77.31913395833334,3627.46,518528.16,15.1
2141,24.0,164.01327541666666,47.28815854166667,38.805071041666665,71.12154229166667,77.63945770833334,3606.89,511855.53,15.030000000000001
2142,24.0,163.75361,47.31026020833333,38.62569125,70.94331541666666,77.30129395833333,3319.85,470881.4,20.71
2143,24.0,163.415419375,47.34628729166667,38.446222291666665,70.749684375,76.34079229166667,3593.88,509508.63,20.79
2144,24.0,164.49418708333334,36.54631479166667,45.13675895833333,77.030368125,64.93037666666666,2463.91,360305.75,18.66
2145,24.0,163.27444729166666,47.064102291666664,38.39403541666667,70.617391875,75.26241541666667,3377.17,477920.15,20.57
2146,22.33334,163.30569650669358,36.34842369565217,47.628385916705696,78.94033399970179,70.00040817453636,2126.84,295620.76,16.759999999999998
2147,24.0,162.37134166666667,40.82480520833333,45.62863,77.14511604166667,71.83221583333334,2726.28,387130.02,26.66
2148,24.0,162.41441166666667,40.8266625,45.50054333333333,77.07062354166666,73.18287666666667,2719.29,386724.08,32.760000000000005
2149,24.0,162.29908041666667,40.829584583333336,45.61503604166667,77.18068520833333,73.13672125,2713.82,385383.83,40.620000000000005
